
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
2,09/18/21,-1.550800E-001,7.165000E-001,9.321300E-001,1.179300E+000,1.511200E+000,1.886200E+000,8.076500E-001,2.564400E+000,6.204500E-001,2.307300E-001,6.932000E-001
2,09/19/21,-1.622000E-001,2.585900E-001,7.914800E-001,1.061400E+000,1.419200E+000,4.780600E-001,4.757300E-001,1.371200E+000,1.410700E+000,3.573400E-001,7.364100E-001
2,09/20/21,-8.771200E-002,1.024700E+000,1.205700E+000,1.275100E+000,1.173100E+000,1.696400E+000,1.006600E+000,1.545900E+000,3.155800E-001,-1.946600E-001,1.384700E+000
2,09/21/21,-3.023700E-002,-1.730500E-001,3.816300E-001,1.231300E+000,-5.319900E-002,1.226000E+000,-2.000000E-001,3.494400E-001,1.137800E+000,7.798300E-002,1.911900E+000
2,09/22/21,-1.705900E-002,1.334900E-001,2.453000E-001,1.047300E+000,1.070700E+000,1.660700E+000,6.355800E-001,5.249300E-001,3.729300E-001,-1.678800E-001,2.041600E+000
2,09/23/21,-1.045200E-001,3.722800E-001,1.301400E-001,1.033300E+000,4.001300E-001,2.556900E+000,6.572800E-001,8.190600E-001,8.040300E-001,9.868500E-002,1.444900E+000
2,09/24/21,-1.267700E-001,9.225100E-001,8.336100E+000,1.371600E+000,2.600600E+000,2.824700E+000,1.292100E+000,1.978800E+000,-1.449800E-001,2.305700E-002,-5.475900E-002
2,09/25/21,2.329900E-002,-5.176400E-004,-1.268400E-002,-1.151300E-002,5.078500E-002,5.062900E-001,-1.145000E-001,-1.437200E-001,-2.000000E-001,-1.828900E-002,4.625800E-001
2,09/26/21,2.393900E-002,-1.211400E-003,-1.362300E-002,-1.412600E-002,5.303300E-002,5.296300E-001,-1.215300E-001,-1.494800E-001,-2.000000E-001,-1.945000E-002,4.836600E-001
2,09/27/21,-2.000000E-001,5.395800E-001,-1.458000E-001,-1.739700E-001,2.125600E+000,1.115800E+000,3.374200E-001,1.134900E+000,1.841800E+000,4.334000E-001,2.005200E-001
2,09/28/21,-7.056800E-002,3.171400E-002,-1.418000E-001,-2.000000E-001,1.314600E+000,1.396300E+000,4.272300E-001,1.129600E+000,1.621800E+000,-4.877800E-002,-1.065300E-001
2,09/29/21,-6.637300E-002,-2.000000E-001,2.010200E+000,-1.446800E-001,6.971800E-001,8.595500E-001,5.585800E-001,8.647700E-001,1.720500E+000,-4.335900E-002,1.816800E-001
2,09/30/21,-3.170700E-003,-1.091400E-001,3.042500E+000,9.848000E-001,-1.953600E-001,1.091900E+000,-2.000000E-001,3.664600E-002,1.289900E+000,-9.348500E-002,7.805900E-001
2,10/01/21,-2.751400E-002,-1.673900E-001,3.677100E-001,8.372500E-001,-2.000000E-001,1.069000E+000,9.237800E-002,4.992300E-001,1.644600E+000,-9.859100E-002,1.022200E+000
2,10/02/21,-5.437400E-003,-1.637200E-001,2.164400E-001,5.819400E-001,-1.711700E-001,1.129200E+000,-1.736000E-001,2.469300E-001,1.555400E+000,-1.153800E-001,1.527300E+000
2,10/03/21,1.767900E-002,-1.951900E-001,5.017600E-001,8.983100E-001,2.652900E-001,1.187300E+000,-2.000000E-001,3.765200E-001,1.229600E+000,-1.502700E-001,1.854200E+000
2,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
2,10/05/21,4.204300E-001,6.933700E-001,3.434600E-001,-2.000000E-001,-2.000000E-001,5.071100E-001,-1.445100E-001,-2.000000E-001,4.058200E+000,5.055000E+000,-6.453400E-002
2,10/06/21,5.589100E+000,6.632500E+000,-7.135800E-002,5.147100E-001,4.157400E+000,3.641500E-001,1.833100E-002,3.768200E-001,2.865200E-001,1.072600E+001,7.157300E-002
2,10/07/21,2.686400E+000,2.022600E+000,-1.004000E-001,-1.479400E-001,8.558600E-001,-1.029500E-001,7.918000E-002,2.077200E-001,2.348600E+000,7.889500E+000,9.383800E-002
2,10/08/21,1.423700E-004,-1.315300E-002,-2.044400E-002,7.172100E-004,-8.073800E-003,2.587800E-001,-4.580300E-002,-2.124500E-002,2.540800E-001,-6.257900E-004,1.189000E-001
2,10/09/21,2.581200E+000,5.345700E+000,-2.000000E-001,-1.171800E-001,2.964500E+000,-2.000000E-001,-2.000000E-001,2.555900E-001,2.056600E+000,7.414100E+000,1.177500E-001
2,10/10/21,4.366100E+000,1.679400E+000,4.862200E-001,2.852900E-001,2.040300E+000,1.000800E-001,-2.000000E-001,6.765600E-001,6.921000E-001,7.416100E+000,3.879400E-001
2,10/11/21,2.110800E+000,1.773600E+000,-1.961900E-001,-1.644300E-001,6.474800E-001,-2.000000E-001,-2.000000E-001,-2.000000E-001,4.048400E+000,6.953100E+000,1.164800E-001
2,10/12/21,-2.000000E-001,5.915600E-001,-1.762900E-001,9.913600E-003,3.113600E-001,8.698700E-001,-2.000000E-001,-1.440300E-001,5.035300E+000,3.805500E-002,-1.981800E-001
2,10/13/21,3.428300E+000,1.485100E+000,-1.816500E-001,5.988800E-002,1.044100E+000,-2.000000E-001,-2.000000E-001,-1.062700E-001,3.880400E+000,-1.307800E-001,6.443600E-002
2,10/14/21,3.598900E+000,3.535400E+000,-1.717800E-001,7.468800E-002,1.543400E+000,-2.000000E-001,-1.248600E-001,3.628500E-001,2.260800E+000,5.823400E+000,1.799900E-001
2,10/15/21,1.826000E-003,-4.612200E-002,-1.037400E-001,-2.000000E-001,-9.970300E-002,1.802000E+000,-2.000000E-001,4.509300E-002,8.078700E-001,-2.624000E-002,4.285200E-001
2,10/16/21,2.415000E-002,-1.603900E-003,-1.387900E-002,-1.470400E-002,5.354800E-002,5.349400E-001,-1.232700E-001,-1.519500E-001,-2.000000E-001,-1.997800E-002,4.930700E-001
2,10/17/21,4.555600E+000,8.159800E-001,-1.334500E-001,-9.044600E-002,4.779300E-001,-9.976100E-002,-1.543100E-001,2.607600E-002,2.335000E-001,4.818600E+000,5.560000E-001
2,10/18/21,7.889000E-004,-1.863500E-002,-2.603100E-002,-9.970700E-003,-5.837000E-003,3.374600E-001,-7.020700E-002,-3.761900E-002,3.104900E-001,-4.946300E-003,1.960500E-001
2,10/19/21,4.738900E+000,1.616500E+000,-1.589700E-001,-1.092600E-001,4.308000E-001,-2.000000E-001,-1.078400E-002,5.043900E-001,4.912300E-001,6.113200E+000,-4.618000E-002
2,10/20/21,5.611100E+000,1.740600E+000,-1.863200E-001,-1.873500E-001,1.393400E+000,3.138800E-001,-1.468800E-001,1.070200E+000,2.161400E-001,6.248100E+000,-6.398800E-002
2,10/21/21,4.577700E+000,1.223900E+000,-1.653500E-001,5.689400E-002,8.902400E-001,6.092400E-001,-2.000000E-001,4.129700E-001,4.150100E-001,4.554900E+000,2.021400E-001
2,10/22/21,6.723300E+000,2.721300E+000,-1.996000E-001,9.878100E-001,1.834400E+000,4.979100E-001,-1.134400E-001,8.928200E-001,-2.000000E-001,7.071800E+000,-2.000000E-001
2,10/23/21,2.526200E-003,-1.662300E-003,-3.208500E-002,4.734500E-001,-6.401400E-002,6.324500E-001,-9.367900E-002,-1.740000E-001,2.282300E-001,6.364900E-003,1.436900E-001
2,10/24/21,3.965600E+000,-1.071300E-001,-1.952600E-001,-1.755200E-001,6.117200E-001,2.953300E-001,8.701400E-003,2.715400E-001,9.775400E-001,7.630700E+000,-2.000000E-001
2,10/25/21,9.597900E-003,-7.046700E-003,-1.722100E-002,-4.876400E-003,1.667100E-002,3.655100E-001,-7.474100E-002,-6.755500E-002,6.631100E-002,-6.973400E-003,2.434400E-001
2,10/26/21,2.372200E+000,4.757500E-001,1.153200E+000,-1.514800E-001,3.916500E-001,3.189200E-001,-1.497700E-001,7.222700E-002,1.739700E+000,5.349400E+000,-2.000000E-001
2,10/27/21,3.536700E+000,-2.000000E-001,-1.997300E-001,2.429000E-001,-2.000000E-001,1.710300E-001,-2.000000E-001,1.597100E-001,3.344100E+000,-1.675400E-001,2.808100E-001
2,10/28/21,2.975100E+000,6.277100E-001,-2.000000E-001,-2.000000E-001,1.161300E-001,5.655000E-001,-2.000000E-001,-2.000000E-001,3.373600E+000,-1.097600E-001,1.017700E-001
2,10/29/21,3.951400E+000,1.019000E+000,1.759000E-001,3.048300E-001,3.990200E-001,-3.538700E-002,-2.000000E-001,2.800300E-001,2.789400E+000,-2.000000E-001,3.433700E-001
2,10/30/21,2.410300E-002,-1.402700E-003,-1.385900E-002,-1.476800E-002,5.358800E-002,5.353800E-001,-1.232800E-001,-1.510000E-001,-2.000000E-001,-1.975900E-002,4.892600E-001
2,10/31/21,3.728700E+000,2.921900E+000,-1.816100E-001,-2.000000E-001,1.934700E+000,6.416400E-001,-9.154500E-002,2.500900E+000,9.073500E-002,6.107900E+000,-2.000000E-001
