
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,10/01/21,3.501500E-001,1.668900E+000,1.012400E+000,8.989300E-001,2.183100E-001,-3.883900E-002,-2.000000E-001,-8.956700E-002,2.522600E-001,8.033300E-001,-6.747700E-002
5,10/02/21,1.940700E-001,1.707400E+000,1.691300E+000,6.299700E-001,-9.619200E-002,-4.919900E-002,-2.000000E-001,-9.179300E-002,1.165200E-001,7.366900E-001,-1.390700E-002
5,10/03/21,4.609400E-001,1.526100E+000,2.195200E+000,8.795700E-001,-2.000000E-001,-6.667300E-002,2.532600E-001,-9.796500E-002,7.283200E-002,1.302900E+000,-4.466900E-003
5,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,10/05/21,3.530100E-001,3.170900E+000,2.428100E-001,1.268200E-002,7.798700E-003,5.026100E+000,1.489700E-003,-2.000000E-001,-2.000000E-001,-2.000000E-001,1.121500E+000
5,10/06/21,-4.835100E-002,2.607400E-002,-1.590100E-002,3.663000E-001,6.381500E-001,1.015800E+001,5.481100E+000,5.854900E+000,6.622600E-002,6.168600E-001,6.906500E+000
5,10/07/21,-1.015200E-001,2.049400E+000,-8.757200E-003,-9.135400E-002,1.273200E-001,7.756200E+000,1.197600E+000,2.625100E+000,7.459400E-002,-5.123800E-003,2.059700E+000
5,10/08/21,-1.793000E-002,2.222600E-001,2.096400E-001,2.851500E-002,4.000600E-002,1.874300E-003,-2.243100E-004,-8.763400E-003,-2.593900E-002,2.424400E-002,7.670700E-003
5,10/09/21,-2.000000E-001,1.504100E+000,-2.000000E-001,-2.000000E-001,-2.000000E-001,7.548600E+000,3.365600E+000,3.795400E+000,1.212400E-001,3.636200E-001,5.503900E+000
5,10/10/21,4.999600E-001,6.056100E-001,2.239200E-001,2.413200E-001,-2.000000E-001,7.417800E+000,1.812700E+000,3.884300E+000,8.743200E-002,1.119300E+000,1.733300E+000
