
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,2-Methyl pentane,1.715432E-002,2.119410E-001,1.004128E+000,0.000000E+000,1.784306E+000,0.000000E+000,6.909238E+000,3.755433E-001,1.474725E+001,2.591640E-001,0.000000E+000
5,Butene,1.150109E-003,3.571116E-001,4.018121E-001,1.958406E-001,9.437249E-001,6.290627E-001,6.048573E+000,2.616517E+000,2.851608E+000,2.295625E-001,6.822850E+000
5,Propylene,0.000000E+000,1.100904E+000,0.000000E+000,0.000000E+000,2.667524E+000,8.371908E+000,1.136216E+001,2.845308E+000,0.000000E+000,1.535686E+000,1.416640E+001
5,cis-2-Pentene,0.000000E+000,2.556764E-002,4.306510E-002,4.214453E-003,0.000000E+000,0.000000E+000,9.393964E-002,0.000000E+000,2.916616E-001,0.000000E+000,4.233099E-001
5,Isoprene,5.627551E-002,1.042096E+000,1.299722E+001,7.618717E-001,1.007891E+000,0.000000E+000,0.000000E+000,3.779554E+000,4.068355E-001,1.678807E+000,1.276866E+000
5,alpha-Pinene,9.851031E-003,3.545614E-001,2.290365E+000,1.392361E-001,3.523115E-001,1.648471E-001,7.045032E-001,8.801888E-001,0.000000E+000,4.894307E-001,1.381609E-001
5,MVK,2.462723E-002,3.698405E-001,6.058018E+000,4.439062E-001,5.069942E-002,0.000000E+000,1.321447E+000,1.655360E+000,9.255689E-001,7.677710E-001,2.703956E-001
5,Benzene,0.000000E+000,6.847864E-001,1.017815E-001,2.078511E-002,6.705512E-001,0.000000E+000,0.000000E+000,0.000000E+000,1.124842E+001,1.712792E+000,4.582853E+000
5,Toluene,1.237048E-002,1.622237E-001,5.638960E-001,9.031665E-002,4.696579E+000,5.082452E-001,1.783609E+000,2.390246E+000,7.498215E+000,2.592718E+000,2.577489E+000
5,Ethylbenzene,2.109199E-003,2.836623E-002,8.518421E-002,9.913314E-003,7.771190E-001,7.784365E-002,3.089535E-001,3.737162E-001,1.045323E+000,4.946468E-001,4.033606E-001
5,Propylbenzene,4.970633E-004,3.345778E-003,3.662909E-002,1.744680E-003,1.688339E-001,3.461202E-002,1.248398E-001,7.968897E-002,2.396849E-001,7.205667E-002,5.540420E-002
5,m_p-Xylene,2.063326E-003,4.456640E-002,8.755524E-002,5.389418E-003,9.701324E-001,1.521129E-001,0.000000E+000,1.170417E+000,3.767210E-001,7.760335E-001,9.623808E-001
5,o-Xylene,2.003718E-003,2.132403E-002,8.214895E-002,7.591575E-003,7.909560E-001,9.124051E-002,1.759051E-001,4.565562E-001,7.062657E-001,5.651228E-001,3.664086E-001
5,p-Isopropyl Toluene,1.251139E-003,7.930806E-003,2.164527E-001,3.608418E-002,1.447061E-001,5.455036E-002,9.278556E-002,0.000000E+000,4.456934E-001,0.000000E+000,0.000000E+000
5,Naphthalene,1.561469E-003,1.583919E-002,9.887503E-002,7.549223E-003,2.032104E-001,0.000000E+000,0.000000E+000,0.000000E+000,3.134871E-001,4.185020E-001,0.000000E+000
5,Methanol,9.971757E+001,8.527457E+001,6.025813E+001,3.194210E+001,7.308240E+001,7.969637E+001,1.069186E+001,4.952761E+001,0.000000E+000,6.973309E+001,2.445530E+000
5,Ethanol,6.038211E-002,0.000000E+000,6.924311E+000,6.566743E+001,0.000000E+000,0.000000E+000,0.000000E+000,1.498843E+001,0.000000E+000,7.615921E+000,1.846319E+001
5,Phenol,1.737407E-002,1.643298E+000,4.192588E+000,1.516532E-001,4.366510E-002,8.106080E-001,0.000000E+000,3.622406E+000,5.532599E+000,1.144759E+000,0.000000E+000
5,Methyl acetate,7.054148E-003,2.098503E-001,0.000000E+000,9.682936E-002,6.349036E-001,2.240692E-002,3.070594E+000,9.587266E-002,1.007946E+001,1.737148E+000,4.731832E-002
5,n-Butyl acetate,5.694301E-003,2.730220E-002,0.000000E+000,9.011997E-002,2.551716E+000,9.089174E-002,0.000000E+000,5.425824E-001,3.471122E+000,6.081097E-001,2.103830E+000
5,D5-Siloxane,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.612746E-001,3.353095E+000,5.041865E-001,2.965940E+000,3.703205E+000,0.000000E+000
