
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
alpha-Pinene,0.007386,,,,,,,,,0.0040707,0.00732735,0.010584,
MVK,0.014833,,,,,,,,,0.009207,0.013974,0.018741,
Benzene,0,,,,,,,,,0,0.0013208,0.0026416,
Toluene,0.025177,,,,,,,,,0.021307,0.0251075,0.028908,
Ethylbenzene,0.0040706,,,,,,,,,0.0034377,0.00405535,0.004673,
Propylbenzene,0.00086285,,,,,,,,,0.0006781,0.000863,0.0010479,
m_p-Xylene,0.013809,,,,,,,,,0.012391,0.013614,0.014837,
o-Xylene,0.0053871,,,,,,,,,0.0046704,0.00535085,0.0060313,
p-Isopropyl Toluene,0,,,,,,,,,0,8.6715E-05,0.00017343,
Naphthalene,0,,,,,,,,,0,1.5754E-05,3.1508E-05,
Methanol,0.78719,,,,,,,,,0,1.0358,2.0716,
Ethanol,0.10276,,,,,,,,,0,0.095745,0.19149,
Phenol,0.025289,,,,,,,,,0.016841,0.0254225,0.034004,
Formaldehyde,0.29934,,,,,,,,,0.15098,0.273475,0.39597,
Acetaldehyde,0.15749,,,,,,,,,0.088794,0.149817,0.21084,
Isovaleraldehyde,0.017611,,,,,,,,,0.014653,0.017656,0.020659,
Hexaldehyde,0.052579,,,,,,,,,0.044247,0.0527095,0.061172,
