
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,09/19/21,7.918700E-001,4.786900E-001,7.361800E-001,1.373500E+000,3.561300E-001,1.416100E+000,1.411600E+000,1.061100E+000,-1.650000E-001,4.754400E-001,2.623700E-001
4,09/20/21,1.195400E+000,1.695400E+000,1.386200E+000,1.548300E+000,-1.960700E-001,1.171500E+000,3.152100E-001,1.274500E+000,-8.799000E-002,1.007400E+000,1.025900E+000
4,09/21/21,3.655100E-001,1.219700E+000,1.914800E+000,3.542000E-001,7.819800E-002,-5.376800E-002,1.141800E+000,1.230800E+000,-3.141800E-002,-2.000000E-001,-1.730300E-001
4,09/22/21,2.262000E-001,1.657400E+000,2.045100E+000,5.263800E-001,-1.676300E-001,1.069900E+000,3.764400E-001,1.046600E+000,-2.152200E-002,6.350800E-001,1.361500E-001
4,09/23/21,1.002300E-001,2.552100E+000,1.448200E+000,8.224400E-001,9.836100E-002,4.009800E-001,8.075500E-001,1.032500E+000,-1.074200E-001,6.574200E-001,3.714700E-001
4,09/24/21,8.366200E+000,2.834800E+000,-5.473300E-002,1.974600E+000,2.197800E-002,2.595400E+000,-1.475900E-001,1.371200E+000,-1.291200E-001,1.290000E+000,9.277700E-001
4,09/25/21,-2.070100E-002,5.046000E-001,4.645600E-001,-1.433600E-001,-1.799300E-002,5.016700E-002,-2.000000E-001,-1.159300E-002,2.425100E-002,-1.148700E-001,2.602700E-004
4,09/26/21,-2.200400E-002,5.275300E-001,4.854400E-001,-1.490100E-001,-1.912600E-002,5.234400E-002,-2.000000E-001,-1.417000E-002,2.492200E-002,-1.218200E-001,-3.881700E-004
4,09/27/21,-1.611600E-001,1.115100E+000,2.018700E-001,1.136700E+000,4.318800E-001,2.119100E+000,1.840000E+000,-1.737900E-001,-2.000000E-001,3.357100E-001,5.470800E-001
4,09/28/21,-1.587200E-001,1.396000E+000,-1.054200E-001,1.130900E+000,-5.008600E-002,1.311900E+000,1.622500E+000,-2.000000E-001,-7.515000E-002,4.265400E-001,3.517100E-002
4,09/29/21,2.014900E+000,8.625800E-001,1.819200E-001,8.645200E-001,-4.382300E-002,6.973200E-001,1.723300E+000,-1.444300E-001,-7.373800E-002,5.583400E-001,-2.000000E-001
4,09/30/21,3.049400E+000,1.090800E+000,7.818000E-001,3.760400E-002,-9.284900E-002,-1.964200E-001,1.292100E+000,9.846700E-001,-4.175800E-003,-2.000000E-001,-1.104200E-001
4,10/01/21,3.567600E-001,1.064100E+000,1.022100E+000,5.030200E-001,-9.868900E-002,-2.000000E-001,1.650000E+000,8.375000E-001,-3.144300E-002,9.369800E-002,-1.693400E-001
4,10/02/21,2.008100E-001,1.123800E+000,1.530200E+000,2.509000E-001,-1.152200E-001,-1.715700E-001,1.558700E+000,5.817600E-001,-7.310600E-003,-1.734700E-001,-1.644600E-001
4,10/03/21,4.868000E-001,1.180800E+000,1.857500E+000,3.807800E-001,-1.501500E-001,2.633200E-001,1.233200E+000,8.980700E-001,1.599700E-002,-2.000000E-001,-1.938100E-001
4,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,10/05/21,3.369000E-001,5.092200E-001,-6.497700E-002,-2.000000E-001,5.059000E+000,-2.000000E-001,4.061700E+000,-2.000000E-001,4.265400E-001,-1.447100E-001,6.913100E-001
4,10/06/21,-7.153300E-002,3.651400E-001,7.110100E-002,3.724800E-001,1.073200E+001,4.135300E+000,2.720900E-001,5.140300E-001,5.650000E+000,1.846800E-002,6.648200E+000
4,10/07/21,-9.993300E-002,-1.002400E-001,9.242200E-002,2.057500E-001,7.893700E+000,8.534500E-001,2.348900E+000,-1.479500E-001,2.709800E+000,7.918800E-002,2.024300E+000
4,10/08/21,-2.415600E-002,2.578400E-001,1.194700E-001,-2.089700E-002,-5.566100E-004,-8.290500E-003,2.543400E-001,7.030000E-004,7.759000E-005,-4.585300E-002,-1.313200E-002
4,10/09/21,-2.000000E-001,-2.000000E-001,1.175300E-001,2.554100E-001,7.415000E+000,2.946900E+000,2.041500E+000,-1.167500E-001,2.619200E+000,-2.000000E-001,5.360300E+000
4,10/10/21,4.903400E-001,1.005700E-001,3.885300E-001,6.719600E-001,7.417200E+000,2.033900E+000,6.919400E-001,2.852000E-001,4.392000E+000,-2.000000E-001,1.689100E+000
4,10/11/21,-1.957400E-001,-2.000000E-001,1.168700E-001,-2.000000E-001,6.958200E+000,6.413700E-001,4.048800E+000,-1.641200E-001,2.127800E+000,-2.000000E-001,1.776700E+000
4,10/12/21,-1.863000E-001,8.678900E-001,-1.971200E-001,-1.431000E-001,3.811500E-002,3.072600E-001,5.034900E+000,9.847300E-003,-2.000000E-001,-2.000000E-001,5.915300E-001
