
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,09/14/21,6.214300E+000,8.239600E-001,-2.000000E-001,1.077500E+000,2.138400E+000,2.094500E+000,5.806500E-001,1.000400E+000,3.185600E-001,-5.550200E-002
11,09/15/21,3.822700E+000,2.668400E-001,1.029600E-001,1.696900E+000,1.194400E+000,2.091000E+000,1.082800E+000,2.135400E+000,1.063200E+000,-1.753800E-001
11,09/16/21,3.015400E+000,2.175600E-001,1.849200E-001,1.969000E+000,9.124600E-001,3.177800E+000,1.460100E+000,2.419100E+000,1.126300E+000,-2.000000E-001
11,09/17/21,1.284400E+000,5.867200E-001,2.075000E-002,1.105600E+000,1.589900E-001,3.387300E+000,1.246800E+000,2.965800E+000,9.177900E-001,-1.655200E-001
11,09/18/21,9.431600E-001,6.444300E-001,2.919200E-001,1.288500E+000,9.336900E-001,2.304300E+000,7.167000E-001,2.187100E+000,7.866900E-001,-1.764100E-001
11,09/19/21,7.961700E-001,1.296200E+000,4.011400E-001,9.858500E-001,6.156900E-001,1.753100E+000,3.712200E-001,7.548000E-001,5.933900E-001,-1.893600E-001
11,09/20/21,1.197300E+000,4.955700E-001,-2.000000E-001,1.331800E+000,1.583600E+000,1.667300E+000,9.629600E-001,1.546800E+000,1.036900E+000,-1.353300E-001
11,09/21/21,3.333700E-001,1.383700E+000,1.476000E-001,1.217500E+000,2.802800E+000,2.042000E-001,-1.813500E-001,-9.146900E-002,2.457300E-001,-1.008500E-001
11,09/22/21,2.319200E-001,5.550900E-001,-1.306500E-001,1.090900E+000,2.210900E+000,1.364900E+000,2.166000E-001,6.526300E-001,9.420200E-001,-1.131300E-001
11,09/23/21,1.232400E-001,1.075000E+000,1.224600E-001,1.192000E+000,1.988700E+000,1.043600E+000,3.507900E-001,1.455800E+000,6.658100E-001,-1.466300E-001
11,09/24/21,8.399000E+000,3.650900E-001,-5.450400E-002,1.578200E+000,1.035200E+000,3.325000E+000,1.054300E+000,2.139500E+000,5.545700E-001,-9.753100E-002
11,09/25/21,-3.198000E-002,-2.000000E-001,-1.034200E-002,2.669200E-002,1.059100E+000,2.513100E-002,-6.850200E-003,-4.472900E-002,-3.292100E-002,1.844600E-002
11,09/26/21,-2.582100E-002,-1.316800E-001,-7.048600E-003,2.737100E-002,8.191600E-001,1.585600E-002,-5.768600E-003,-3.050900E-002,-2.056800E-002,1.387600E-002
11,09/27/21,-1.361800E-001,1.573800E+000,4.690400E-001,-1.073700E-001,4.456000E-001,2.324600E+000,6.987300E-001,1.121300E+000,2.969200E-001,-1.879200E-001
11,09/28/21,-1.251700E-001,1.309800E+000,-9.093100E-003,-8.945100E-002,3.498300E-001,1.827000E+000,1.138100E-001,1.435700E+000,2.307400E-001,-8.297500E-002
11,09/29/21,1.959800E+000,1.543500E+000,3.968800E-003,-1.053800E-001,4.858700E-001,1.060200E+000,-1.414400E-001,8.298700E-001,4.493100E-001,-1.106900E-001
11,09/30/21,3.138200E+000,1.655500E+000,-9.349000E-002,1.013700E+000,1.706800E+000,2.096500E-001,-1.480700E-001,-1.290900E-001,-2.000000E-001,-2.691200E-002
11,10/01/21,3.576300E-001,1.850100E+000,-5.288200E-002,8.853300E-001,1.251700E+000,1.629800E-001,-1.829100E-001,3.690900E-001,3.052500E-001,-9.850800E-002
11,10/02/21,1.869700E-001,1.832900E+000,-4.680700E-002,5.931500E-001,1.971600E+000,3.496300E-002,-1.835700E-001,-9.141600E-003,2.322900E-001,-8.868200E-002
11,10/03/21,4.539300E-001,1.544200E+000,-7.041700E-002,8.667700E-001,2.622200E+000,6.269600E-001,-1.764700E-001,-1.793300E-002,1.621500E-001,-6.539300E-002
11,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,10/05/21,3.322100E-001,3.648800E+000,5.106100E+000,-2.000000E-001,6.113900E-001,-2.000000E-001,7.137400E-001,1.359500E-001,-2.000000E-001,-2.000000E-001
11,10/06/21,-6.382800E-002,5.804400E-001,1.078200E+001,6.677000E-001,-1.753900E-001,2.176600E+000,6.664600E+000,4.359200E-001,-2.000000E-001,6.553700E+000
