**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Tetrachloroethene,  0.00020,  0.00012,  0.00020,  0.00021,  0.00035,  0.00107,  0.00031,  0.00017,  0.56480,  0.86033
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00040,  0.00003,  0.00008,  2.50687,  0.00000
1_4-Dichlorobenzene,  0.00011,  0.00000,  0.00011,  0.00011,  0.00016,  0.00480,  0.00021,  0.00051,  2.45769,  4.86600
PCBTF,  0.00014,  0.00000,  0.00014,  0.00016,  0.00024,  0.00226,  0.00023,  0.00025,  1.08084,  1.71637
N-Butane,  0.00435,  0.00000,  0.00436,  0.00576,  0.01308,  0.05767,  0.00994,  0.00937,  0.94257,  2.15162
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04017,  0.00261,  0.00771,  2.95733,  0.00000
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01083,  0.00051,  0.00166,  3.27734,  0.00000
Isopentane,  0.01728,  0.01030,  0.01664,  0.01765,  0.02988,  0.07604,  0.02644,  0.01589,  0.60117,  0.91966
2-Methyl pentane,  0.00705,  0.00000,  0.00670,  0.01428,  0.01868,  0.09395,  0.01944,  0.02028,  1.04315,  2.87589
Butene,  0.00783,  0.00006,  0.00783,  0.00853,  0.01679,  0.03764,  0.01296,  0.00711,  0.54862,  0.90752
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.07495,  0.00418,  0.01121,  2.68131,  0.00000
cis-2-Pentene,  0.00091,  0.00000,  0.00083,  0.00090,  0.00121,  0.00316,  0.00108,  0.00060,  0.55734,  0.66667
Isoprene,  0.32927,  0.01532,  0.26865,  0.32822,  0.32900,  0.36640,  0.29812,  0.05884,  0.19737,  0.17869
alpha-Pinene,  0.06039,  0.00370,  0.05028,  0.06014,  0.06032,  0.06610,  0.05480,  0.00986,  0.18001,  0.16335
MVK,  0.15240,  0.00609,  0.12220,  0.15209,  0.15239,  0.17026,  0.13788,  0.02823,  0.20472,  0.18522
Benzene,  0.00000,  0.00000,  0.00000,  0.00003,  0.02889,  0.08463,  0.01419,  0.02227,  1.56939,  0.00000
Toluene,  0.02120,  0.01413,  0.01965,  0.02135,  0.02390,  0.05768,  0.02166,  0.00507,  0.23419,  0.23934
Ethylbenzene,  0.00353,  0.00199,  0.00318,  0.00357,  0.00365,  0.01009,  0.00360,  0.00093,  0.25870,  0.26336
Propylbenzene,  0.00102,  0.00052,  0.00093,  0.00103,  0.00120,  0.00164,  0.00105,  0.00017,  0.15986,  0.16511
m_p-Xylene,  0.00608,  0.00000,  0.00283,  0.00608,  0.00613,  0.01193,  0.00512,  0.00233,  0.45625,  0.38366
o-Xylene,  0.00405,  0.00034,  0.00291,  0.00410,  0.00427,  0.00978,  0.00378,  0.00132,  0.34748,  0.32462
p-Isopropyl Toluene,  0.00390,  0.00000,  0.00392,  0.00406,  0.00455,  0.00766,  0.00445,  0.00118,  0.26474,  0.30147
Naphthalene,  0.00326,  0.00000,  0.00325,  0.00335,  0.00392,  0.00480,  0.00350,  0.00080,  0.22804,  0.24505
Methanol,  1.65420,  0.00000,  1.23368,  1.73480,  2.37858,  4.80810,  1.86645,  0.92517,  0.49568,  0.55928
Ethanol,  0.17024,  0.00000,  0.03513,  0.17968,  0.20083,  1.79370,  0.18947,  0.29512,  1.55766,  1.73358
Phenol,  0.12331,  0.00468,  0.12270,  0.12320,  0.13185,  0.19120,  0.12412,  0.02485,  0.20020,  0.20152
Formaldehyde,  1.01440,  0.06951,  1.01040,  1.01330,  1.03438,  1.18310,  1.00119,  0.14669,  0.14652,  0.14461
Acetaldehyde,  0.43858,  0.09845,  0.43882,  0.44330,  0.49186,  0.56081,  0.44347,  0.07513,  0.16942,  0.17131
Isovaleraldehyde,  0.00934,  0.00228,  0.00644,  0.00922,  0.00938,  0.02420,  0.00866,  0.00341,  0.39316,  0.36456
Hexaldehyde,  0.02452,  0.00000,  0.01087,  0.02410,  0.02467,  0.05228,  0.02006,  0.00980,  0.48855,  0.39968
m_p-Tolualdehyde,  0.00031,  0.00000,  0.00027,  0.00031,  0.00031,  0.00044,  0.00028,  0.00009,  0.30268,  0.27557
Phenylacetaldehyde,  0.03330,  0.00000,  0.03298,  0.03325,  0.03882,  0.06998,  0.03548,  0.01196,  0.33698,  0.35897
