**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Butene,  0.00241,  0.00000,  0.00022,  0.00164,  0.00220,  0.00278,  0.00138,  0.00097,  0.70398,  0.40190
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00085,  0.00740,  0.00066,  0.00169,  2.57752,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.03942,  0.02085,  0.02144,  0.03106,  0.03895,  0.04686,  0.03048,  0.00908,  0.29807,  0.23046
alpha-Pinene,  0.00740,  0.00365,  0.00386,  0.00576,  0.00726,  0.00930,  0.00567,  0.00182,  0.32159,  0.24617
MVK,  0.01666,  0.00702,  0.00737,  0.01144,  0.01645,  0.01811,  0.01187,  0.00444,  0.37388,  0.26649
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00783,  0.00087,  0.00173,  0.00488,  0.00783,  0.01239,  0.00513,  0.00372,  0.72655,  0.47551
Ethylbenzene,  0.00150,  0.00029,  0.00041,  0.00097,  0.00150,  0.00232,  0.00100,  0.00065,  0.65501,  0.43764
Propylbenzene,  0.00036,  0.00006,  0.00009,  0.00026,  0.00036,  0.00053,  0.00023,  0.00015,  0.63159,  0.40879
m_p-Xylene,  0.00166,  0.00000,  0.00000,  0.00099,  0.00167,  0.00335,  0.00096,  0.00106,  1.10796,  0.63731
o-Xylene,  0.00146,  0.00017,  0.00024,  0.00088,  0.00147,  0.00256,  0.00091,  0.00076,  0.83783,  0.52083
p-Isopropyl Toluene,  0.00090,  0.00031,  0.00047,  0.00069,  0.00087,  0.00090,  0.00068,  0.00020,  0.29010,  0.21924
Naphthalene,  0.00132,  0.00047,  0.00078,  0.00107,  0.00128,  0.00185,  0.00102,  0.00036,  0.34827,  0.27000
Methanol, 72.67200, 71.58500, 72.23525, 73.08150, 73.97725, 74.95400, 73.17370,  0.95158,  0.01300,  0.01309
Ethanol,  0.00510,  0.00000,  0.00062,  0.00573,  0.04993,  0.10572,  0.02425,  0.03118,  1.28580,  6.11367
Phenol,  0.01039,  0.00290,  0.00607,  0.00780,  0.01087,  0.01807,  0.00827,  0.00395,  0.47832,  0.38042
Methyl acetate,  0.00540,  0.00348,  0.00388,  0.00451,  0.00539,  0.00649,  0.00467,  0.00090,  0.19177,  0.16602
n-Butyl acetate,  0.00246,  0.00100,  0.00150,  0.00194,  0.00246,  0.00538,  0.00234,  0.00128,  0.54654,  0.52064
D5-Siloxane,  0.00454,  0.00100,  0.00244,  0.00294,  0.00419,  0.00681,  0.00309,  0.00151,  0.48926,  0.33335

Factor 6,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.01870,  0.01870,  0.01880,  0.03390,  0.03571,  0.03817,  0.02901,  0.00821,  0.28300,  0.43912
Chloroform,  0.00355,  0.00355,  0.00357,  0.00539,  0.00610,  0.00653,  0.00499,  0.00119,  0.23919,  0.33590
Trichlorofluoromethane,  0.06318,  0.06318,  0.06349,  0.10992,  0.11906,  0.11986,  0.09394,  0.02527,  0.26902,  0.39999
Dichlorodifluoromethane,  0.06304,  0.06304,  0.06352,  0.16787,  0.18929,  0.19877,  0.13639,  0.05970,  0.43771,  0.94699
Carbon Tetrachloride,  0.01719,  0.01719,  0.01729,  0.03224,  0.03344,  0.03515,  0.02693,  0.00780,  0.28968,  0.45366
1_1_2-Trichlorotrifluoroethane,  0.01900,  0.01900,  0.01912,  0.03683,  0.03894,  0.04065,  0.03077,  0.00949,  0.30831,  0.49918
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00339,  0.00339,  0.00342,  0.00740,  0.00828,  0.00896,  0.00633,  0.00240,  0.37903,  0.70751
Tetrachloroethene,  0.00046,  0.00040,  0.00046,  0.00047,  0.00053,  0.00079,  0.00050,  0.00008,  0.15961,  0.17487
1_2-Dichlorobenzene,  0.00015,  0.00000,  0.00014,  0.00017,  0.00025,  0.00044,  0.00018,  0.00009,  0.51560,  0.63693
1_4-Dichlorobenzene,  0.00022,  0.00000,  0.00016,  0.00024,  0.00024,  0.00043,  0.00021,  0.00009,  0.42895,  0.40781
