**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
n-Butyl acetate,  0.00806,  0.00004,  0.00711,  0.00805,  0.01010,  0.01105,  0.00790,  0.00259,  0.32756,  0.32112
D5-Siloxane,  0.01266,  0.00000,  0.00000,  0.00787,  0.01263,  0.01268,  0.00701,  0.00577,  0.82277,  0.45556

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02462,  0.00485,  0.02110,  0.02333,  0.02458,  0.02465,  0.02133,  0.00538,  0.25220,  0.21851
Chloroform,  0.00434,  0.00083,  0.00331,  0.00400,  0.00433,  0.00441,  0.00366,  0.00096,  0.26351,  0.22222
Trichlorofluoromethane,  0.07041,  0.00000,  0.06324,  0.06777,  0.07032,  0.07197,  0.06010,  0.01878,  0.31251,  0.26673
Dichlorodifluoromethane,  0.17042,  0.03865,  0.15919,  0.16976,  0.17033,  0.17942,  0.15151,  0.03909,  0.25799,  0.22935
Carbon Tetrachloride,  0.02238,  0.00324,  0.02012,  0.02148,  0.02234,  0.02264,  0.01907,  0.00578,  0.30321,  0.25840
1_1_2-Trichlorotrifluoroethane,  0.02648,  0.00195,  0.02387,  0.02575,  0.02644,  0.02683,  0.02280,  0.00671,  0.29410,  0.25325
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00670,  0.00143,  0.00582,  0.00651,  0.00669,  0.00671,  0.00586,  0.00146,  0.24928,  0.21787
Tetrachloroethene,  0.00025,  0.00013,  0.00023,  0.00025,  0.00028,  0.00041,  0.00026,  0.00007,  0.26708,  0.27450
1_2-Dichlorobenzene,  0.00008,  0.00000,  0.00008,  0.00020,  0.00025,  0.00432,  0.00058,  0.00128,  2.22118, 16.69924
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00016,  0.00923,  0.00052,  0.00205,  3.93512,  0.00000
PCBTF,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00012,  0.00001,  0.00003,  2.72773,  0.00000
N-Butane,  0.04426,  0.02113,  0.04411,  0.04713,  0.05727,  0.06092,  0.04893,  0.00945,  0.19311,  0.21351
Isobutane,  0.00154,  0.00011,  0.00155,  0.00373,  0.02007,  0.02238,  0.00950,  0.00917,  0.96604,  5.96332
N-Pentane,  0.00532,  0.00000,  0.00494,  0.00530,  0.00531,  0.00994,  0.00467,  0.00229,  0.49083,  0.43050
Isopentane,  0.00000,  0.00000,  0.00000,  0.00046,  0.00241,  0.00916,  0.00194,  0.00296,  1.52741,  0.00000
2-Methyl pentane,  0.00518,  0.00000,  0.00020,  0.00518,  0.00912,  0.01098,  0.00500,  0.00398,  0.79488,  0.76703
Butene,  0.02082,  0.00638,  0.01835,  0.02077,  0.02180,  0.02299,  0.01971,  0.00358,  0.18178,  0.17217
Propylene,  0.09633,  0.05939,  0.09332,  0.09609,  0.09631,  0.10642,  0.09229,  0.01224,  0.13262,  0.12706
cis-2-Pentene,  0.00109,  0.00012,  0.00103,  0.00109,  0.00128,  0.00146,  0.00101,  0.00040,  0.39464,  0.36521
Isoprene,  0.00913,  0.00000,  0.00911,  0.01105,  0.04856,  0.06140,  0.02742,  0.02240,  0.81700,  2.45206
alpha-Pinene,  0.01069,  0.00292,  0.01066,  0.01081,  0.01765,  0.02228,  0.01357,  0.00516,  0.38006,  0.48239
MVK,  0.00000,  0.00000,  0.00000,  0.00434,  0.02021,  0.02390,  0.00950,  0.01037,  1.09055,  0.00000
Benzene,  0.01874,  0.00000,  0.00848,  0.01647,  0.01869,  0.01874,  0.01324,  0.00691,  0.52182,  0.36873
Toluene,  0.00516,  0.00294,  0.00314,  0.00514,  0.00727,  0.00998,  0.00535,  0.00224,  0.41907,  0.43444
Ethylbenzene,  0.00079,  0.00038,  0.00049,  0.00079,  0.00107,  0.00171,  0.00084,  0.00039,  0.46930,  0.49706
Propylbenzene,  0.00000,  0.00000,  0.00000,  0.00001,  0.00016,  0.00032,  0.00007,  0.00011,  1.54752,  0.00000
m_p-Xylene,  0.00210,  0.00085,  0.00105,  0.00210,  0.00255,  0.00388,  0.00200,  0.00090,  0.44900,  0.42682
o-Xylene,  0.00065,  0.00000,  0.00015,  0.00065,  0.00091,  0.00185,  0.00067,  0.00054,  0.80642,  0.83768
p-Isopropyl Toluene,  0.00012,  0.00000,  0.00012,  0.00012,  0.00062,  0.00067,  0.00030,  0.00026,  0.85946,  2.10689
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00077,  0.00004,  0.00017,  4.47214,  0.00000
Methanol,  3.69770,  1.13780,  3.59248,  3.81610,  4.08045,  4.30450,  3.56157,  0.87009,  0.24430,  0.23530
Ethanol,  0.22549,  0.00000,  0.17690,  0.20324,  0.21332,  0.22549,  0.17748,  0.06493,  0.36587,  0.28797
Phenol,  0.06120,  0.01575,  0.05524,  0.06120,  0.06642,  0.07747,  0.05880,  0.01376,  0.23402,  0.22486
