
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,09/25/21,-1.429300E-002,-4.251700E-002,4.010700E-002,-1.103300E-003,-1.319400E-002,-4.111700E-002,2.447600E-002,2.072900E-002,-2.000000E-001,1.114200E+000
6,09/26/21,-9.522300E-003,-2.656800E-002,3.753000E-002,-1.618400E-003,-1.164400E-002,-2.557600E-002,1.471400E-002,1.469000E-002,-1.176500E-001,8.279300E-001
6,09/27/21,4.699500E-001,1.148000E+000,-1.018800E-001,7.142800E-001,-1.623100E-001,2.523000E-001,2.375000E+000,-1.850000E-001,1.535600E+000,4.673900E-001
6,09/28/21,-8.817100E-003,1.446600E+000,-7.716000E-002,1.239800E-001,-1.482400E-001,1.949500E-001,1.833400E+000,-8.184100E-002,1.284400E+000,3.676400E-001
6,09/29/21,7.012100E-003,8.406700E-001,-8.432000E-002,-1.385500E-001,1.971800E+000,4.188900E-001,1.020000E+000,-1.141200E-001,1.522700E+000,5.044500E-001
6,09/30/21,-9.462300E-002,-9.562300E-002,1.055900E+000,-1.304200E-001,3.177500E+000,-2.000000E-001,8.734300E-002,-3.392600E-002,1.706900E+000,1.559600E+000
6,10/01/21,-5.712600E-002,3.810700E-001,9.281900E-001,-1.756800E-001,3.541300E-001,3.010500E-001,1.451500E-001,-1.047500E-001,1.842400E+000,1.199900E+000
6,10/02/21,-5.217800E-002,8.340500E-003,6.423000E-001,-1.719100E-001,2.013500E-001,2.235200E-001,1.919900E-002,-9.494100E-002,1.847200E+000,1.894000E+000
6,10/03/21,-7.700900E-002,1.953200E-002,9.144000E-001,-1.607700E-001,4.757300E-001,1.399800E-001,5.980900E-001,-6.976000E-002,1.578600E+000,2.544700E+000
6,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,10/05/21,5.123400E+000,1.260500E-001,-1.434200E-001,7.751000E-001,3.373600E-001,-2.000000E-001,-2.000000E-001,-2.000000E-001,3.518200E+000,5.797400E-001
6,10/06/21,1.074200E+001,4.380800E-001,4.975300E-001,6.718000E+000,-6.181900E-002,-2.000000E-001,2.407700E+000,6.632500E+000,5.071200E-001,-2.000000E-001
6,10/07/21,8.025900E+000,7.627600E-002,-1.551500E-001,1.964200E+000,-7.763600E-002,1.033800E-001,2.828400E-001,3.020200E+000,1.841800E+000,8.354800E-002
6,10/08/21,3.197100E-003,2.933900E-002,2.130000E-002,-1.402500E-002,-2.005500E-002,-1.253500E-002,1.042900E-002,-6.225000E-003,2.651100E-001,2.301100E-001
