Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.140021E+00,0.140447E+00,0.143980E+00,0.153298E+00,0.194878E+00,0.221595E+00,0.000000E+00,0.607778E-01,0.294536E-01,0.127968E+00,0.000000E+00,0.944954E-01,0.551710E-01,0.000000E+00,0.000000E+00,0.276100E-01,0.131979E+00,0.509570E-01,0.237809E-01,0.373221E-01,0.000000E+00,0.000000E+00,0.221595E+00,0.439073E-02,0.000000E+00,0.777564E-01,0.000000E+00,0.140021E+00,0.802385E-01,0.140447E+00,0.118914E+00,0.000000E+00,0.862378E-01,0.129869E+00,0.000000E+00,0.825183E-01,0.000000E+00,0.000000E+00,0.498552E-01,0.786923E-01,0.132936E+00,0.126268E+00,0.793213E-01,0.143980E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.153298E+00,0.000000E+00,0.131351E+00,0.194878E+00,0.000000E+00,0.172643E-02,0.000000E+00,0.230175E-01,0.520022E-01,0.000000E+00,
0.144242E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.191075E+00,0.199430E+00,0.200094E+00,0.228359E+00,0.250820E+00,0.340575E+00,0.144242E+00,0.119561E+00,0.145880E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.340575E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.172451E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.250820E+00,0.187067E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.583642E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.321887E-02,0.000000E+00,0.000000E+00,0.200094E+00,0.191075E+00,0.111171E+00,0.199430E+00,0.228359E+00,0.000000E+00,0.000000E+00,0.000000E+00,
0.115697E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.487135E+00,0.505465E+00,0.564190E+00,0.588053E+00,0.894617E+00,0.105723E+01,0.115697E+00,0.000000E+00,0.663314E-01,0.136164E+00,0.631228E-01,0.000000E+00,0.233521E+00,0.894617E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.175991E+00,0.487135E+00,0.000000E+00,0.144697E+00,0.199319E+00,0.186570E+00,0.000000E+00,0.662269E-02,0.564190E+00,0.517571E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.130769E+00,0.171240E+00,0.168397E+00,0.000000E+00,0.501696E-01,0.142570E+00,0.105723E+01,0.000000E+00,0.000000E+00,0.119914E+00,0.625185E-01,0.000000E+00,0.588053E+00,0.253382E+00,0.000000E+00,0.936189E-01,0.129520E+00,0.644290E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.269664E+00,0.138263E+00,0.201178E+00,0.234172E+00,0.000000E+00,0.505465E+00,
0.466518E+01,0.240241E+01,0.295350E+01,0.384157E+01,0.384336E+01,0.396642E+01,0.396992E+01,0.488967E+01,0.491443E+01,0.493285E+01,0.495742E+01,0.497291E+01,0.499535E+01,0.466518E+01,0.414232E+01,0.460498E+01,0.465309E+01,0.433752E+01,0.446366E+01,0.499535E+01,0.409359E+01,0.443781E+01,0.475068E+01,0.469649E+01,0.484705E+01,0.455953E+01,0.419551E+01,0.396642E+01,0.457984E+01,0.460485E+01,0.459699E+01,0.414837E+01,0.460738E+01,0.431872E+01,0.478074E+01,0.488562E+01,0.435444E+01,0.469928E+01,0.488967E+01,0.482294E+01,0.396992E+01,0.425052E+01,0.469604E+01,0.295350E+01,0.384336E+01,0.446106E+01,0.468421E+01,0.497291E+01,0.495742E+01,0.471801E+01,0.485054E+01,0.468429E+01,0.493285E+01,0.417981E+01,0.454186E+01,0.384157E+01,0.466773E+01,0.474823E+01,0.457505E+01,0.491443E+01,0.465598E+01,0.452459E+01,0.240241E+01,0.457787E+01,

0.103105E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.756613E-04,0.421713E-03,0.295143E-01,0.356802E-01,0.376187E-01,0.388827E-01,0.407195E-01,0.471384E-01,0.103105E-02,0.261499E-01,0.212456E-01,0.238662E-01,0.287023E-01,0.121323E-01,0.671994E-02,0.211846E-01,0.421713E-03,0.175314E-01,0.223244E-01,0.000000E+00,0.778929E-02,0.175930E-01,0.170432E-02,0.000000E+00,0.448216E-02,0.222816E-01,0.171407E-02,0.471384E-01,0.376187E-01,0.543870E-02,0.117783E-01,0.140062E-01,0.143276E-01,0.188011E-01,0.000000E+00,0.681717E-02,0.756613E-04,0.522784E-02,0.447203E-02,0.799655E-02,0.647445E-02,0.295143E-01,0.267510E-01,0.179946E-01,0.388827E-01,0.911793E-02,0.236941E-01,0.175513E-01,0.224352E-01,0.407195E-01,0.000000E+00,0.187174E-01,0.936904E-02,0.186530E-01,0.228800E-01,0.164102E-01,0.356802E-01,0.184166E-01,0.269889E-01,
0.395789E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.281079E-01,0.327114E-01,0.327491E-01,0.333237E-01,0.458911E-01,0.145189E+00,0.395789E-03,0.182685E-01,0.145189E+00,0.172467E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.203571E-01,0.140277E-01,0.333237E-01,0.842726E-02,0.000000E+00,0.269613E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.170160E-02,0.186015E-01,0.000000E+00,0.190463E-01,0.195399E-01,0.204763E-01,0.281079E-01,0.149406E-01,0.207232E-01,0.153345E-01,0.251559E-01,0.449680E-03,0.458911E-01,0.169300E-01,0.000000E+00,0.327114E-01,0.116316E-01,0.212251E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.155358E-01,0.896613E-02,0.000000E+00,0.108066E-01,0.327491E-01,0.147092E-01,0.238936E-01,0.000000E+00,0.103186E-01,0.693149E-02,0.000000E+00,0.156455E-01,0.000000E+00,
0.123430E+00,0.260643E-01,0.304515E-01,0.319518E-01,0.341005E-01,0.365070E-01,0.420372E-01,0.202434E+00,0.214747E+00,0.215313E+00,0.226723E+00,0.227544E+00,0.260111E+00,0.123430E+00,0.510145E-01,0.260643E-01,0.974139E-01,0.138799E+00,0.796446E-01,0.804540E-01,0.787269E-01,0.341005E-01,0.150641E+00,0.176882E+00,0.123926E+00,0.129483E+00,0.319518E-01,0.132537E+00,0.146910E+00,0.128988E+00,0.166007E+00,0.157646E+00,0.226723E+00,0.420372E-01,0.131451E+00,0.139413E+00,0.171227E+00,0.160495E+00,0.202434E+00,0.134010E+00,0.119738E+00,0.365070E-01,0.227544E+00,0.304515E-01,0.734617E-01,0.186894E+00,0.180616E+00,0.215313E+00,0.111310E+00,0.214747E+00,0.142167E+00,0.132196E+00,0.126379E+00,0.154174E+00,0.260111E+00,0.549471E-01,0.140976E+00,0.942812E-01,0.173171E+00,0.120960E+00,0.156268E+00,0.171346E+00,0.134223E+00,0.820207E-01,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.415116E-01,0.462159E-01,0.581312E-01,0.604927E-01,0.127464E+00,0.133061E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.133061E+00,0.000000E+00,0.318427E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.977003E-02,0.000000E+00,0.310460E-01,0.581312E-01,0.922082E-02,0.350086E-01,0.118814E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.802779E-02,0.000000E+00,0.000000E+00,0.755275E-02,0.415116E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.432775E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.462159E-01,0.229523E-01,0.138869E-02,0.000000E+00,0.784857E-02,0.000000E+00,0.661290E-02,0.127464E+00,0.000000E+00,0.215612E-01,0.000000E+00,0.726990E-02,0.000000E+00,0.604927E-01,0.000000E+00,
0.614599E-01,0.000000E+00,0.658764E-02,0.716096E-02,0.138419E-01,0.279736E-01,0.283507E-01,0.801097E-01,0.802787E-01,0.896706E-01,0.908932E-01,0.993772E-01,0.105857E+00,0.614599E-01,0.600992E-01,0.775094E-01,0.575349E-01,0.554692E-01,0.368746E-01,0.596518E-01,0.801097E-01,0.896706E-01,0.336305E-01,0.105857E+00,0.655939E-01,0.309585E-01,0.465783E-01,0.556206E-01,0.660250E-01,0.669556E-01,0.651900E-01,0.499548E-01,0.496957E-01,0.365378E-01,0.279736E-01,0.597513E-01,0.908932E-01,0.138419E-01,0.341487E-01,0.658764E-02,0.783354E-01,0.802787E-01,0.584851E-01,0.706092E-01,0.709923E-01,0.458962E-01,0.432528E-01,0.424942E-01,0.508374E-01,0.575636E-01,0.993772E-01,0.451301E-01,0.438774E-01,0.387831E-01,0.283507E-01,0.674668E-01,0.716096E-02,0.000000E+00,0.497650E-01,0.314854E-01,0.605613E-01,0.539806E-01,0.591341E-01,0.557132E-01,
0.276343E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.118970E-02,0.593143E-02,0.898555E-02,0.499039E-01,0.611929E-01,0.693422E-01,0.122343E+00,0.140012E+00,0.208031E+00,0.276343E-01,0.235615E-01,0.177461E-01,0.106106E-01,0.208031E+00,0.246664E-01,0.195635E-01,0.309638E-01,0.243247E-01,0.226094E-01,0.318568E-01,0.254454E-01,0.169402E-01,0.215048E-01,0.693422E-01,0.593143E-02,0.122343E+00,0.202647E-01,0.228205E-01,0.382524E-01,0.000000E+00,0.611929E-01,0.283750E-01,0.324955E-01,0.325813E-01,0.000000E+00,0.316353E-01,0.114194E-01,0.208120E-01,0.118857E-01,0.898555E-02,0.178431E-01,0.280390E-01,0.261644E-01,0.499039E-01,0.300680E-01,0.118970E-02,0.208164E-01,0.337544E-01,0.207842E-01,0.101367E-01,0.324765E-01,0.297637E-01,0.000000E+00,0.140012E+00,0.413736E-01,0.194446E-01,0.310611E-01,0.392928E-01,0.104320E-01,0.397248E-01,
0.133134E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.633856E-02,0.133134E+00,0.144104E+00,0.154217E+00,0.157936E+00,0.161170E+00,0.215486E+00,0.133134E+00,0.122519E+00,0.341129E-01,0.000000E+00,0.492793E-01,0.300773E-01,0.101765E+00,0.886270E-01,0.131835E+00,0.154217E+00,0.183914E-01,0.519625E-01,0.989266E-01,0.157936E+00,0.367547E-01,0.627348E-01,0.536748E-01,0.424285E-01,0.478934E-01,0.709228E-02,0.215486E+00,0.119703E+00,0.509265E-01,0.000000E+00,0.275717E-01,0.000000E+00,0.833692E-01,0.269145E-01,0.161170E+00,0.633856E-02,0.112360E+00,0.144104E+00,0.308071E-01,0.529551E-01,0.214079E-01,0.114156E+00,0.000000E+00,0.565043E-01,0.395574E-01,0.586015E-01,0.547303E-01,0.000000E+00,0.122293E+00,0.569357E-01,0.109242E+00,0.374866E-01,0.104382E+00,0.558864E-01,0.328604E-01,0.513091E-01,0.100451E+00,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.677333E-01,0.789829E-01,0.950140E-01,0.104894E+00,0.121030E+00,0.137621E+00,0.000000E+00,0.000000E+00,0.774001E-02,0.126171E-01,0.963502E-03,0.137621E+00,0.677333E-01,0.412366E-01,0.000000E+00,0.661338E-03,0.266481E-02,0.246983E-01,0.662988E-01,0.104894E+00,0.335225E-01,0.383990E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.372045E-02,0.121030E+00,0.000000E+00,0.191826E-01,0.218839E-01,0.950140E-01,0.789829E-01,0.619961E-01,0.252100E-03,0.000000E+00,0.430674E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.268472E-01,0.000000E+00,0.000000E+00,0.132631E-01,0.000000E+00,0.557436E-01,0.633104E-01,0.285449E-01,0.347552E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.438009E-02,0.000000E+00,0.217508E-01,
0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.309023E-01,0.346878E-01,0.374441E-01,0.374904E-01,0.542598E-01,0.103150E+00,0.000000E+00,0.299470E-01,0.000000E+00,0.270482E-01,0.000000E+00,0.146886E-01,0.263762E-01,0.207356E-01,0.165770E-01,0.000000E+00,0.720731E-02,0.309023E-01,0.942923E-02,0.000000E+00,0.716350E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.374441E-01,0.187361E-02,0.000000E+00,0.000000E+00,0.306712E-01,0.156419E-02,0.249272E-01,0.171789E-01,0.000000E+00,0.921552E-02,0.542598E-01,0.183252E-01,0.103150E+00,0.188153E-01,0.000000E+00,0.716599E-03,0.000000E+00,0.257861E-01,0.158309E-02,0.246486E-01,0.336565E-02,0.000000E+00,0.274470E-01,0.204897E-01,0.929548E-02,0.000000E+00,0.346878E-01,0.111457E-01,0.233612E-01,0.134530E-01,0.100273E-02,0.117192E-01,0.374904E-01,

0.117367E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.194451E+00,0.205710E+00,0.207450E+00,0.257163E+00,0.262785E+00,0.315519E+00,0.117367E-01,0.205710E+00,0.622981E-01,0.258462E-01,0.592316E-01,0.000000E+00,0.135834E+00,0.298707E-01,0.000000E+00,0.854442E-01,0.000000E+00,0.100739E+00,0.000000E+00,0.173619E-01,0.164139E+00,0.000000E+00,0.000000E+00,0.136337E+00,0.000000E+00,0.727151E-01,0.189983E+00,0.102195E+00,0.177084E+00,0.135720E+00,0.150916E+00,0.315519E+00,0.262785E+00,0.698379E-01,0.365332E-01,0.000000E+00,0.138222E+00,0.114373E-01,0.113462E-01,0.106488E+00,0.527611E-01,0.207450E+00,0.965620E-01,0.819334E-01,0.357986E-01,0.257163E+00,0.837011E-01,0.191818E+00,0.131744E+00,0.179027E-01,0.274746E-01,0.726508E-01,0.113122E+00,0.827603E-01,0.130647E+00,0.112504E+00,0.194451E+00,
0.205061E+00,0.000000E+00,0.000000E+00,0.100812E-01,0.221267E-01,0.630182E-01,0.878075E-01,0.838682E+00,0.840214E+00,0.918646E+00,0.966334E+00,0.998711E+00,0.111987E+01,0.205061E+00,0.229902E+00,0.515143E+00,0.100812E-01,0.413730E+00,0.268806E+00,0.340368E+00,0.111987E+01,0.371931E+00,0.925386E-01,0.179247E+00,0.221267E-01,0.333253E+00,0.667434E+00,0.780298E+00,0.808261E+00,0.000000E+00,0.449702E+00,0.878075E-01,0.966334E+00,0.594693E+00,0.176632E+00,0.583279E+00,0.168181E+00,0.275077E+00,0.630182E-01,0.422020E+00,0.614410E+00,0.000000E+00,0.190835E+00,0.170186E+00,0.457330E+00,0.918646E+00,0.998711E+00,0.386357E+00,0.627110E+00,0.816882E+00,0.294439E+00,0.838682E+00,0.350154E+00,0.145926E+00,0.223050E+00,0.463684E+00,0.133564E+00,0.129675E+00,0.386204E+00,0.232641E+00,0.462675E+00,0.840214E+00,0.922183E-01,0.550512E+00,
0.101529E+01,0.173703E+00,0.290053E+00,0.354406E+00,0.469863E+00,0.629195E+00,0.639357E+00,0.119667E+01,0.120766E+01,0.126033E+01,0.128480E+01,0.129098E+01,0.142631E+01,0.101529E+01,0.810923E+00,0.119667E+01,0.813975E+00,0.107026E+01,0.116905E+01,0.104076E+01,0.114363E+01,0.116840E+01,0.730979E+00,0.129098E+01,0.775500E+00,0.868407E+00,0.832807E+00,0.907474E+00,0.109911E+01,0.753382E+00,0.966869E+00,0.792269E+00,0.916852E+00,0.290053E+00,0.891833E+00,0.103483E+01,0.128480E+01,0.126033E+01,0.110406E+01,0.878547E+00,0.736445E+00,0.354406E+00,0.103546E+01,0.173703E+00,0.107541E+01,0.629195E+00,0.896407E+00,0.120766E+01,0.115133E+01,0.810127E+00,0.105764E+01,0.831560E+00,0.833353E+00,0.718630E+00,0.805574E+00,0.142631E+01,0.840573E+00,0.469863E+00,0.929267E+00,0.960629E+00,0.923790E+00,0.952959E+00,0.639357E+00,0.872599E+00,
0.175749E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.556329E+00,0.561222E+00,0.563418E+00,0.568494E+00,0.748470E+00,0.104863E+01,0.175749E+00,0.000000E+00,0.548469E-01,0.556329E+00,0.261802E+00,0.000000E+00,0.188693E+00,0.156809E+00,0.213843E+00,0.108603E+00,0.563418E+00,0.308858E+00,0.525312E+00,0.315563E+00,0.535963E+00,0.131893E+00,0.219129E+00,0.142555E-01,0.253812E+00,0.206912E+00,0.123969E-01,0.525409E+00,0.949721E-01,0.104863E+01,0.126530E+00,0.000000E+00,0.205131E+00,0.260173E+00,0.000000E+00,0.254354E+00,0.262483E+00,0.000000E+00,0.000000E+00,0.130681E+00,0.000000E+00,0.262679E-01,0.279051E+00,0.317663E+00,0.113510E+00,0.944307E-01,0.704989E-01,0.561222E+00,0.144203E+00,0.485715E+00,0.568494E+00,0.138971E+00,0.498880E+00,0.000000E+00,0.000000E+00,0.748470E+00,0.245411E+00,
0.804221E-01,0.000000E+00,0.000000E+00,0.154224E-01,0.155291E-01,0.196619E-01,0.329362E-01,0.336132E+00,0.362374E+00,0.378436E+00,0.387957E+00,0.393584E+00,0.683182E+00,0.804221E-01,0.178220E+00,0.291549E+00,0.254236E+00,0.145077E+00,0.202362E+00,0.228107E+00,0.195026E+00,0.108150E+00,0.112470E+00,0.188798E+00,0.306728E+00,0.263311E+00,0.159033E+00,0.378436E+00,0.193568E+00,0.174651E+00,0.387957E+00,0.184517E+00,0.471349E-01,0.154224E-01,0.329362E-01,0.167718E+00,0.000000E+00,0.336132E+00,0.104355E+00,0.178069E+00,0.113498E+00,0.313869E+00,0.683182E+00,0.297837E+00,0.171982E+00,0.155291E-01,0.799303E-01,0.201512E+00,0.198124E+00,0.307347E+00,0.393584E+00,0.273140E+00,0.109820E+00,0.234640E+00,0.224072E+00,0.298036E+00,0.000000E+00,0.280959E+00,0.235917E+00,0.139692E+00,0.362374E+00,0.196619E-01,0.316191E+00,0.195339E+00,
0.268198E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.276179E-01,0.361915E+00,0.372525E+00,0.379480E+00,0.402468E+00,0.795739E+00,0.132372E+01,0.268198E+00,0.200858E+00,0.115971E+00,0.199956E+00,0.132372E+01,0.270738E+00,0.654112E-01,0.250553E+00,0.899285E-01,0.175800E+00,0.334008E+00,0.645860E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.983672E-01,0.795739E+00,0.249142E+00,0.392390E-01,0.286958E+00,0.111651E+00,0.501184E-01,0.221840E+00,0.272964E+00,0.953290E-01,0.511575E-01,0.748371E-01,0.000000E+00,0.104277E+00,0.000000E+00,0.102741E+00,0.216367E+00,0.402468E+00,0.280721E+00,0.246988E+00,0.219157E+00,0.276179E-01,0.119043E+00,0.916371E-01,0.153945E+00,0.325854E-01,0.305425E+00,0.187870E+00,0.226506E+00,0.361915E+00,0.372525E+00,0.144217E+00,0.314342E-01,0.292206E+00,0.156134E+00,0.379480E+00,
0.525516E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.893487E-02,0.794563E-01,0.908426E+00,0.920907E+00,0.989397E+00,0.111220E+01,0.128447E+01,0.152807E+01,0.525516E+00,0.698695E+00,0.854367E+00,0.364548E+00,0.000000E+00,0.920907E+00,0.632040E+00,0.220289E+00,0.111220E+01,0.794613E+00,0.120511E+00,0.634119E+00,0.571059E+00,0.856282E+00,0.129494E+00,0.173437E+00,0.899226E+00,0.000000E+00,0.893487E-02,0.000000E+00,0.989397E+00,0.738028E+00,0.202960E+00,0.106022E+00,0.294031E+00,0.128447E+01,0.589720E+00,0.280485E+00,0.900196E+00,0.384101E+00,0.152807E+01,0.678388E+00,0.335912E+00,0.420396E+00,0.268850E+00,0.368439E+00,0.000000E+00,0.245146E+00,0.792622E+00,0.908426E+00,0.523468E+00,0.319781E+00,0.550365E+00,0.445921E+00,0.837729E+00,0.794563E-01,0.238676E+00,0.171000E+00,0.464694E+00,0.391426E+00,0.451783E+00,
0.648717E+00,0.000000E+00,0.000000E+00,0.730533E-01,0.793708E-01,0.810511E-01,0.110251E+00,0.796394E+00,0.818586E+00,0.829206E+00,0.935412E+00,0.104770E+01,0.127518E+01,0.648717E+00,0.583921E+00,0.810511E-01,0.829206E+00,0.818586E+00,0.121339E+00,0.442301E+00,0.000000E+00,0.000000E+00,0.602356E+00,0.761053E+00,0.796394E+00,0.127518E+01,0.377433E+00,0.178808E+00,0.463298E+00,0.418275E+00,0.687133E+00,0.935412E+00,0.769606E+00,0.590384E+00,0.630887E+00,0.525193E+00,0.376490E+00,0.201270E+00,0.618825E+00,0.240013E+00,0.433435E+00,0.652204E+00,0.537603E+00,0.326987E+00,0.435627E+00,0.524522E+00,0.730533E-01,0.720629E+00,0.223786E+00,0.104770E+01,0.628802E+00,0.793708E-01,0.440757E+00,0.337622E+00,0.795458E+00,0.110251E+00,0.642618E+00,0.425285E+00,0.647114E+00,0.523203E+00,0.595404E+00,0.485485E+00,0.680695E+00,0.149927E+00,
0.418321E+00,0.000000E+00,0.332916E-01,0.593934E-01,0.702578E-01,0.128808E+00,0.144300E+00,0.821437E+00,0.839620E+00,0.891265E+00,0.107356E+01,0.127023E+01,0.137740E+01,0.418321E+00,0.315830E+00,0.261593E+00,0.284892E+00,0.166504E+00,0.170485E+00,0.237683E+00,0.277405E+00,0.332916E-01,0.839620E+00,0.186314E+00,0.258042E+00,0.702578E-01,0.593934E-01,0.215720E+00,0.458657E+00,0.458245E+00,0.448089E+00,0.107356E+01,0.293504E+00,0.137740E+01,0.128808E+00,0.357422E+00,0.160362E+00,0.483440E+00,0.150790E+00,0.762868E+00,0.601381E+00,0.821437E+00,0.393504E+00,0.891265E+00,0.209538E+00,0.527967E+00,0.392415E+00,0.168560E+00,0.318505E+00,0.208656E+00,0.289589E+00,0.210351E+00,0.508868E+00,0.127023E+01,0.275119E+00,0.158077E+00,0.649852E+00,0.528330E+00,0.523115E+00,0.350386E+00,0.603929E+00,0.144300E+00,0.000000E+00,0.265116E+00,

0.166851E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.106047E+00,0.110568E+00,0.115421E+00,0.116761E+00,0.132080E+00,0.173312E+00,0.166851E-01,0.173312E+00,0.323993E-01,0.414557E-01,0.255954E-01,0.000000E+00,0.633691E-01,0.132397E-01,0.000000E+00,0.115421E+00,0.153852E-01,0.954109E-01,0.330638E-01,0.126847E-01,0.624789E-01,0.368228E-02,0.499121E-01,0.740915E-01,0.000000E+00,0.201486E-01,0.908511E-01,0.238385E-01,0.116761E+00,0.684710E-01,0.915914E-01,0.110568E+00,0.741439E-02,0.208880E-01,0.147397E-01,0.000000E+00,0.562918E-01,0.000000E+00,0.000000E+00,0.549325E-01,0.346477E-01,0.106047E+00,0.222460E-01,0.166645E-01,0.100667E+00,0.132080E+00,0.465438E-01,0.775508E-01,0.706727E-01,0.162722E-01,0.185335E-01,0.713314E-01,0.741356E-01,0.523525E-01,0.505400E-01,0.546395E-01,0.102627E+00,
0.355902E+00,0.528712E-01,0.722214E-01,0.110973E+00,0.113028E+00,0.161075E+00,0.165441E+00,0.547575E+00,0.549689E+00,0.577771E+00,0.667935E+00,0.681151E+00,0.719213E+00,0.355902E+00,0.161075E+00,0.165441E+00,0.246468E+00,0.346486E+00,0.434957E+00,0.511086E+00,0.667935E+00,0.384257E+00,0.290607E+00,0.218653E+00,0.211511E+00,0.360011E+00,0.487065E+00,0.416317E+00,0.454407E+00,0.110973E+00,0.470405E+00,0.320501E+00,0.681151E+00,0.512005E+00,0.355785E+00,0.480554E+00,0.528712E-01,0.376396E+00,0.305098E+00,0.482956E+00,0.366895E+00,0.256300E+00,0.722214E-01,0.377261E+00,0.461075E+00,0.577771E+00,0.547575E+00,0.259285E+00,0.443040E+00,0.719213E+00,0.254224E+00,0.495461E+00,0.445855E+00,0.113028E+00,0.303777E+00,0.479808E+00,0.252482E+00,0.300371E+00,0.386047E+00,0.402758E+00,0.486640E+00,0.549689E+00,0.259959E+00,0.539278E+00,
0.438938E+00,0.225404E-02,0.480158E-01,0.867567E-01,0.105913E+00,0.162647E+00,0.204249E+00,0.574150E+00,0.583491E+00,0.588271E+00,0.588395E+00,0.599561E+00,0.801990E+00,0.438938E+00,0.365319E+00,0.588395E+00,0.338501E+00,0.419555E+00,0.481305E+00,0.531261E+00,0.599561E+00,0.588271E+00,0.234384E+00,0.508384E+00,0.284912E+00,0.412572E+00,0.438791E+00,0.279975E+00,0.430803E+00,0.317217E+00,0.392594E+00,0.210446E+00,0.249455E+00,0.480158E-01,0.318047E+00,0.423999E+00,0.420761E+00,0.583491E+00,0.361342E+00,0.245842E+00,0.261883E+00,0.867567E-01,0.298601E+00,0.225404E-02,0.564615E+00,0.105913E+00,0.304173E+00,0.574150E+00,0.518664E+00,0.235018E+00,0.438000E+00,0.387732E+00,0.361621E+00,0.232186E+00,0.204249E+00,0.801990E+00,0.282612E+00,0.162647E+00,0.362255E+00,0.416944E+00,0.386482E+00,0.324450E+00,0.257221E+00,0.458387E+00,
0.637778E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.286252E+00,0.286813E+00,0.347186E+00,0.391270E+00,0.616367E+00,0.621572E+00,0.637778E-01,0.000000E+00,0.000000E+00,0.175047E+00,0.279390E+00,0.259336E-01,0.683032E-01,0.286813E+00,0.143688E-01,0.000000E+00,0.347186E+00,0.703261E-01,0.230897E+00,0.141807E+00,0.621572E+00,0.507094E-01,0.213665E+00,0.000000E+00,0.000000E+00,0.176173E+00,0.139967E-01,0.165166E+00,0.352178E-01,0.616367E+00,0.176945E+00,0.000000E+00,0.899259E-01,0.615853E-01,0.000000E+00,0.238980E+00,0.921887E-01,0.488252E-01,0.699985E-01,0.207626E+00,0.264829E+00,0.142720E-01,0.338032E-01,0.286252E+00,0.116634E+00,0.137072E+00,0.531704E-01,0.252922E+00,0.260129E-01,0.227597E+00,0.204797E+00,0.183002E+00,0.171618E+00,0.000000E+00,0.488437E-01,0.391270E+00,0.213707E+00,
