
Factor Profiles (conc. of species) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,Ethylbenzene,8.832303E-001,4.488103E-001,4.029960E-002,7.304584E-001,1.073499E-001,2.071625E-003,6.927508E-003,2.547896E-001
16,Propylbenzene,1.762125E-001,1.106875E-001,7.475436E-003,1.632372E-001,3.631607E-002,5.006588E-004,0.000000E+000,6.678154E-002
16,m_p-Xylene,1.293471E+000,8.156903E-001,7.671204E-002,4.478506E-001,6.178911E-002,2.296707E-003,3.799135E-003,6.648796E-001
16,o-Xylene,1.005623E+000,3.723874E-001,4.183622E-002,5.515072E-001,8.123823E-002,2.029842E-003,2.797421E-003,3.027698E-001
16,p-Isopropyl Toluene,5.160760E-002,1.109533E-001,9.274029E-003,2.291217E-001,2.216040E-001,1.239413E-003,3.325519E-002,3.118170E-002
16,Naphthalene,4.903554E-001,0.000000E+000,1.065634E-002,1.504068E-001,1.265021E-001,1.831338E-003,7.781763E-003,0.000000E+000
16,Methanol,6.092092E+001,0.000000E+000,7.953136E+001,4.495051E+001,5.628646E+001,9.974817E+001,3.757689E+001,6.795589E+001
16,Ethanol,4.738333E+000,1.680088E+000,5.017916E+000,3.575984E+000,6.513074E+000,7.287129E-003,5.962936E+001,5.693867E+000
16,Phenol,9.356089E-001,0.000000E+000,1.619602E+000,1.998142E+000,4.511893E+000,1.426657E-002,2.334504E-001,2.018964E+000
16,Methyl acetate,1.353876E+000,1.398524E+000,7.370173E-002,4.735116E+000,8.512875E-001,7.438918E-003,8.378118E-002,3.229912E-001
16,n-Butyl acetate,1.926877E+000,1.121811E+000,4.968866E-002,2.571258E+000,0.000000E+000,3.421154E-003,8.685336E-002,4.241221E-001
16,D5-Siloxane,3.118931E+000,1.930897E+000,0.000000E+000,4.592967E-001,4.711424E-001,6.284469E-003,3.623635E-002,7.760224E-001
