
**** Error Estimation Summary ****

DISP Displaced Species:
,1-Butene + Isobutylene
,2-Methyl pentane
,Acetaldehyde
,Benzene_ 1_2-dichloro-
,Benzene_ 1_4-dichloro
,Benzene_ propyl-
,Carbon Tetrachloride
,Chloroform
,Cyclohexanone
,Decamethylcyclopentasiloxane
,Dichlorodifluoromethane
,Dichloromethane
,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-
,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-
,Ethanol
,Ethylbenzene
,Formaldehyde
,Hexaldehyde
,Isobutane
,Isopentane
,Isoprene
,Isovaleraldehyde
,MVK
,Methanol
,Methyl acetate
,N-Butane
,Naphthalene
,Parachlorobenzotrifluoride
,Pentane
,Phenol
,Phenylacetaldehyde
,Propylene
,Tetrachloroethene
,Toluene
,Trichlorofluoromethane
,a-Pinene
,cis-2-Pentene
,m_p-Tolualdehyde
,m_p-Xylene
,n-Butyl acetate
,o-Xylene
,p-Cymene
,p-Isopropyl Toluene

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.355
,%dQ:,-0.001627
,Swaps by Factor:,0,0,0,0,0,0,0,0,0

Concentrations for MIxing solvents,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Acetaldehyde,0.43248,,,,,,,,,0.33051,0.43231,0.53411,
Benzene,0.023031,,,,,,,,,0.014043,0.0225195,0.030996,
Benzene_ 1_2-dichloro-,0,,,,,,,,,0,3.7491E-05,7.4982E-05,
Benzene_ 1_4-dichloro,6.0351E-05,,,,,,,,,0,7.836E-05,0.00015672,
Benzene_ propyl-,0.00097232,,,,,,,,,0.0006792,0.0009812,0.0012832,
Carbon Tetrachloride,0.0057427,,,,,,,,,0.0033593,0.00585955,0.0083598,
Chloroform,0.0029674,,,,,,,,,0.0019483,0.002972,0.0039957,
Cyclohexanone,0.00031196,,,,,,,,,0.00021836,0.000317145,0.00041593,
Decamethylcyclopentasiloxane,0.044239,,,,,,,,,0.041036,0.044732,0.048428,
Dichlorodifluoromethane,0.055093,,,,,,,,,0.043609,0.0556155,0.067622,
Dichloromethane,0.011446,,,,,,,,,0.0075476,0.0116023,0.015657,
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,0.0057054,,,,,,,,,0.0033003,0.0057739,0.0082475,
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0.0011108,,,,,,,,,0.00067608,0.00112639,0.0015767,
Ethanol,0.11319,,,,,,,,,0,0.143545,0.28709,
Ethylbenzene,0.0029617,,,,,,,,,0.0019566,0.0030359,0.0041152,
Formaldehyde,0.6435,,,,,,,,,0.43693,0.640135,0.84334,
Hexaldehyde,0,,,,,,,,,0,0.00313515,0.0062703,
Isobutane,0.070654,,,,,,,,,0.065282,0.0715695,0.077857,
Isopentane,0.051898,,,,,,,,,0.043016,0.052062,0.061108,
Isoprene,0.015386,,,,,,,,,-2.909E-18,0.022347,0.044694,
Isovaleraldehyde,0,,,,,,,,,0,0.0007946,0.0015892,
MVK,0.011599,,,,,,,,,0,0.012136,0.024272,
Methanol,0,,,,,,,,,-2.1837E-19,1.90745,3.8149,
Methyl acetate,0.032112,,,,,,,,,0.022701,0.032011,0.041321,
N-Butane,0.057654,,,,,,,,,0.04945,0.057819,0.066188,
Naphthalene,0.0035937,,,,,,,,,0.0029328,0.003613,0.0042932,
Parachlorobenzotrifluoride,0.00097289,,,,,,,,,0.00069385,0.000975025,0.0012562,
Pentane,0,,,,,,,,,0,0.000439085,0.00087817,
Phenol,0,,,,,,,,,0,0.00232735,0.0046547,
Phenylacetaldehyde,0,,,,,,,,,0,0.00223555,0.0044711,
Propylene,0.040287,,,,,,,,,0.027571,0.0404525,0.053334,
Tetrachloroethene,0.00072673,,,,,,,,,0.00058005,0.0007308,0.00088155,
Toluene,0.012746,,,,,,,,,0.0063596,0.0129293,0.019499,
Trichlorofluoromethane,0.0081684,,,,,,,,,0,0.008457,0.016914,
a-Pinene,0.004984,,,,,,,,,0,0.0056035,0.011207,
cis-2-Pentene,0.00042789,,,,,,,,,0.00018366,0.000430345,0.00067703,
m_p-Tolualdehyde,0.00031013,,,,,,,,,0.00022117,0.000311745,0.00040232,
m_p-Xylene,0.00017906,,,,,,,,,-2.1711E-20,0.0013092,0.0026184,
n-Butyl acetate,0,,,,,,,,,0,0.00057005,0.0011401,
o-Xylene,0.0023287,,,,,,,,,0.0013403,0.0025451,0.0037499,
p-Cymene,0.00015908,,,,,,,,,0,0.00023445,0.0004689,
p-Isopropyl Toluene,0.0020564,,,,,,,,,0.0014408,0.00202685,0.0026129,

Concentrations for Methanol,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1-Butene + Isobutylene,0.00072438,,,,,,,,,0,0.00163815,0.0032763,
2-Methyl pentane,0.0091363,,,,,,,,,0.0040228,0.0090564,0.01409,
Acetaldehyde,0.018262,,,,,,,,,0,0.043081,0.086162,
Benzene,0.0024151,,,,,,,,,-4.8813E-19,0.0026969,0.0053938,
Benzene_ 1_2-dichloro-,0,,,,,,,,,0,4.57705E-05,9.1541E-05,
Benzene_ 1_4-dichloro,5.4693E-05,,,,,,,,,2.6953E-05,9.08115E-05,0.00015467,
Benzene_ propyl-,0.0004184,,,,,,,,,0.00015932,0.00036735,0.00057538,
Carbon Tetrachloride,0.0009598,,,,,,,,,7.721E-06,0.0009851105,0.0019625,
Chloroform,0.00071221,,,,,,,,,0.0002165,0.00067055,0.0011246,
Cyclohexanone,9.5966E-05,,,,,,,,,3.9028E-05,9.1654E-05,0.00014428,
Decamethylcyclopentasiloxane,0.0035516,,,,,,,,,0.0012511,0.00335225,0.0054534,
Dichlorodifluoromethane,0.0087753,,,,,,,,,0.0026956,0.0085418,0.014388,
Dichloromethane,0.0055987,,,,,,,,,0.00361,0.0055835,0.007557,
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,0.0012701,,,,,,,,,0.00015871,0.001306305,0.0024539,
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0.00031964,,,,,,,,,0.00010702,0.0003268,0.00054658,
Ethanol,0,,,,,,,,,0,0.09484,0.18968,
Ethylbenzene,0.0021312,,,,,,,,,0.00086848,0.00178189,0.0026953,
Formaldehyde,0.010266,,,,,,,,,0,0.076665,0.15333,
Hexaldehyde,0,,,,,,,,,0,0.00119795,0.0023959,
Isobutane,0.0044234,,,,,,,,,0.00067202,0.00416801,0.007664,
Isopentane,0.0088029,,,,,,,,,0.0050598,0.0088774,0.012695,
Isoprene,0.0086511,,,,,,,,,0,0.0221265,0.044253,
Isovaleraldehyde,0,,,,,,,,,0,0.0006479,0.0012958,
MVK,0.0027343,,,,,,,,,0,0.0095345,0.019069,
Methanol,73.843,,,,,,,,,70.811,75.2355,79.66,
Methyl acetate,0.0067738,,,,,,,,,0.0022172,0.0062696,0.010322,
N-Butane,0.00241,,,,,,,,,0,0.00304065,0.0060813,
Naphthalene,0.0012683,,,,,,,,,0.00084664,0.00126872,0.0016908,
Parachlorobenzotrifluoride,0.00092878,,,,,,,,,0.00065179,0.000860145,0.0010685,
Pentane,0.00056718,,,,,,,,,0,0.0004838,0.0009676,
Phenol,0.0010227,,,,,,,,,-6.2323E-19,0.0065265,0.013053,
Phenylacetaldehyde,0.00035229,,,,,,,,,0,0.0019098,0.0038196,
Propylene,0,,,,,,,,,0,0.00163335,0.0032667,
Tetrachloroethene,0.00018485,,,,,,,,,8.5932E-05,0.000171471,0.00025701,
Toluene,0.0122,,,,,,,,,0.0045347,0.01014335,0.015752,
Trichlorofluoromethane,0.0051917,,,,,,,,,0.0019304,0.00537765,0.0088249,
a-Pinene,0.0014353,,,,,,,,,0,0.00387095,0.0077419,
cis-2-Pentene,0,,,,,,,,,0,2.1796E-05,4.3592E-05,
m_p-Tolualdehyde,4.0844E-05,,,,,,,,,0,4.73585E-05,9.4717E-05,
m_p-Xylene,0.0021582,,,,,,,,,0.00046053,0.001722715,0.0029849,
n-Butyl acetate,0.0064954,,,,,,,,,0.0028615,0.00546405,0.0080666,
o-Xylene,0.0020249,,,,,,,,,0.00069146,0.00164933,0.0026072,
p-Cymene,4.9394E-05,,,,,,,,,0,0.00013489,0.00026978,
p-Isopropyl Toluene,0.00055923,,,,,,,,,0.00028865,0.000651775,0.0010149,

Concentrations for Dichloro benzene,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1-Butene + Isobutylene,0.022379,,,,,,,,,0.018157,0.022692,0.027227,
2-Methyl pentane,0.0049604,,,,,,,,,0.0022169,0.0050346,0.0078523,
Acetaldehyde,0.17374,,,,,,,,,0.12739,0.174015,0.22064,
Benzene,0.00073334,,,,,,,,,0,0.0015914,0.0031828,
Benzene_ 1_2-dichloro-,0.0050331,,,,,,,,,0.0048705,0.00510125,0.005332,
Benzene_ 1_4-dichloro,0.0050932,,,,,,,,,0.0048364,0.0051489,0.0054614,
Benzene_ propyl-,0.00085711,,,,,,,,,0.00069266,0.00089653,0.0011004,
Carbon Tetrachloride,0,,,,,,,,,0,0.00151725,0.0030345,
Chloroform,0.00081715,,,,,,,,,0.00049098,0.00097149,0.001452,
Cyclohexanone,0.00012473,,,,,,,,,8.1274E-05,0.000127042,0.00017281,
Decamethylcyclopentasiloxane,0.013749,,,,,,,,,0.012294,0.0137475,0.015201,
Dichlorodifluoromethane,0.0085845,,,,,,,,,0.0014031,0.01735305,0.033303,
Dichloromethane,0.0038566,,,,,,,,,0.0021059,0.00478965,0.0074734,
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,0.0011946,,,,,,,,,5.9315E-05,0.002502007,0.0049447,
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0.00027686,,,,,,,,,-4.6736E-20,0.00062975,0.0012595,
Ethanol,0.10033,,,,,,,,,-3.1213E-17,0.08134,0.16268,
Ethylbenzene,0.0027825,,,,,,,,,0.0021275,0.0030404,0.0039533,
Formaldehyde,0.26757,,,,,,,,,0.15739,0.270525,0.38366,
Hexaldehyde,0.021822,,,,,,,,,0.015901,0.024747,0.033593,
Isobutane,0.011279,,,,,,,,,0.0082104,0.0114317,0.014653,
Isopentane,0.026877,,,,,,,,,0.022807,0.0271355,0.031464,
Isoprene,0.017214,,,,,,,,,0.0029781,0.01630155,0.029625,
Isovaleraldehyde,0.0076121,,,,,,,,,0.0056181,0.00855805,0.011498,
MVK,0.0084296,,,,,,,,,0.0015531,0.00776605,0.013979,
Methanol,0.63556,,,,,,,,,0,0.6816,1.3632,
Methyl acetate,0.0032099,,,,,,,,,0.00093701,0.003478705,0.0060204,
N-Butane,0.05875,,,,,,,,,0.051901,0.0596725,0.067444,
Naphthalene,0,,,,,,,,,0,1.6137E-05,3.2274E-05,
Parachlorobenzotrifluoride,0.00061898,,,,,,,,,0.00047691,0.00068169,0.00088647,
Pentane,0.00054939,,,,,,,,,0,0.00086825,0.0017365,
Phenol,0.026159,,,,,,,,,0.021037,0.0283025,0.035568,
Phenylacetaldehyde,0.013024,,,,,,,,,0.0087,0.0153055,0.021911,
Propylene,0.087558,,,,,,,,,0.076889,0.0906545,0.10442,
Tetrachloroethene,0.00055861,,,,,,,,,0.00047173,0.000563415,0.0006551,
Toluene,0.017857,,,,,,,,,0.013813,0.019455,0.025097,
Trichlorofluoromethane,0.0031587,,,,,,,,,0,0.0068265,0.013653,
a-Pinene,0.0043277,,,,,,,,,0.0015711,0.00439525,0.0072194,
cis-2-Pentene,0,,,,,,,,,0,1.2601E-05,2.5202E-05,
m_p-Tolualdehyde,0.00010823,,,,,,,,,6.3044E-05,0.000109402,0.00015576,
m_p-Xylene,0.0088546,,,,,,,,,0.0075319,0.00909395,0.010656,
n-Butyl acetate,0.00086815,,,,,,,,,-3.4659E-19,0.00217055,0.0043411,
o-Xylene,0.0035642,,,,,,,,,0.002811,0.00380275,0.0047945,
p-Cymene,0.00028123,,,,,,,,,0.00010544,0.000284595,0.00046375,
p-Isopropyl Toluene,0.00074551,,,,,,,,,0.00048874,0.00071997,0.0009512,

Concentrations for Ethanol,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1-Butene + Isobutylene,0.014123,,,,,,,,,0.0089187,0.01434835,0.019778,
2-Methyl pentane,0.0087992,,,,,,,,,0.00073648,0.01121374,0.021691,
Acetaldehyde,0.19509,,,,,,,,,0.112,0.2121,0.3122,
Benzene,0.0067242,,,,,,,,,0,0.0056655,0.011331,
Benzene_ 1_2-dichloro-,0.00010302,,,,,,,,,4.4939E-05,0.0001684045,0.00029187,
Benzene_ 1_4-dichloro,0,,,,,,,,,0,9.1865E-05,0.00018373,
Benzene_ propyl-,1.2128E-05,,,,,,,,,-4.7068E-21,0.00017035,0.0003407,
Carbon Tetrachloride,0.001107,,,,,,,,,0,0.001437,0.002874,
Chloroform,0.0014205,,,,,,,,,0.00065443,0.001436565,0.0022187,
Cyclohexanone,0.0002517,,,,,,,,,0.00018227,0.000277265,0.00037226,
Decamethylcyclopentasiloxane,0.012446,,,,,,,,,0.0099829,0.01291595,0.015849,
Dichlorodifluoromethane,0.0031906,,,,,,,,,0,0.0057695,0.011539,
Dichloromethane,0,,,,,,,,,0,0.00160675,0.0032135,
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,0.0018352,,,,,,,,,0,0.0019733,0.0039466,
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0,,,,,,,,,0,5.9515E-05,0.00011903,
Ethanol,4.7972,,,,,,,,,4.5779,4.9296,5.2813,
Ethylbenzene,0.00054498,,,,,,,,,0,0.0009809,0.0019618,
Formaldehyde,0.37041,,,,,,,,,0.19847,0.40443,0.61039,
Hexaldehyde,0.0071503,,,,,,,,,0.0029409,0.00923895,0.015537,
Isobutane,0,,,,,,,,,0,0.002045,0.00409,
Isopentane,0.014891,,,,,,,,,0.0080256,0.0152463,0.022467,
Isoprene,0.045418,,,,,,,,,0.015986,0.0530535,0.090121,
Isovaleraldehyde,0.0040009,,,,,,,,,0.0019472,0.00484175,0.0077363,
MVK,0.028371,,,,,,,,,0.014521,0.0318855,0.04925,
Methanol,1.1514,,,,,,,,,0,3.40835,6.8167,
Methyl acetate,0.0085647,,,,,,,,,0.0019051,0.00871255,0.01552,
N-Butane,0.0082378,,,,,,,,,0.00098057,0.008330285,0.01568,
Naphthalene,0.00097528,,,,,,,,,0.00045881,0.000986705,0.0015146,
Parachlorobenzotrifluoride,0.00031098,,,,,,,,,8.9851E-06,0.0004846076,0.00096023,
Pentane,0,,,,,,,,,0,0.000428185,0.00085637,
Phenol,0,,,,,,,,,0,0.007153,0.014306,
Phenylacetaldehyde,0,,,,,,,,,0,0.0009649,0.0019298,
Propylene,6.9624E-06,,,,,,,,,-2.1841E-19,0.00469725,0.0093945,
Tetrachloroethene,9.6868E-05,,,,,,,,,0,0.00012687,0.00025374,
Toluene,0.0047489,,,,,,,,,0,0.006992,0.013984,
Trichlorofluoromethane,0,,,,,,,,,0,0.00297545,0.0059509,
a-Pinene,0.0088203,,,,,,,,,0.0028831,0.00982355,0.016764,
cis-2-Pentene,0.00021706,,,,,,,,,0,0.000257965,0.00051593,
m_p-Tolualdehyde,4.1463E-05,,,,,,,,,0,6.8485E-05,0.00013697,
m_p-Xylene,0,,,,,,,,,0,0.000757,0.001514,
n-Butyl acetate,0.0049817,,,,,,,,,0.00079193,0.005153365,0.0095148,
o-Xylene,0.00043876,,,,,,,,,0,0.00089405,0.0017881,
p-Cymene,0.00055759,,,,,,,,,0.00028023,0.000587885,0.00089554,
