**** Run Comparison Statistics ****

Concentration of Species	Lowest Q (Robust) Run = Run 8

Factor 1		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Isovaleraldehyde	  0.00000	  0.00000	  0.00000	  0.00000	  0.00005	  0.00058	  0.00008	  0.00017	  2.11208	  0.00000
Hexaldehyde	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
m_p-Tolualdehyde	  0.00003	  0.00001	  0.00004	  0.00004	  0.00014	  0.00014	  0.00007	  0.00005	  0.70961	  1.59302
Phenylacetaldehyde	  0.00020	  0.00000	  0.00007	  0.00021	  0.00384	  0.00678	  0.00160	  0.00227	  1.41351	 11.08446
Cyclohexanone	  0.00012	  0.00008	  0.00010	  0.00013	  0.00020	  0.00020	  0.00014	  0.00005	  0.32868	  0.38627
Methyl acetate	  0.00906	  0.00000	  0.00731	  0.00875	  0.01039	  0.01396	  0.00834	  0.00307	  0.36845	  0.33939
n-Butyl acetate	  0.00962	  0.00000	  0.00676	  0.00868	  0.00939	  0.00962	  0.00746	  0.00286	  0.38308	  0.29724
D5-Siloxane	  0.00425	  0.00307	  0.00454	  0.00656	  0.01187	  0.01190	  0.00769	  0.00345	  0.44891	  0.81088
O3_form	  0.06459	  0.00000	  0.08985	  0.53071	  3.22204	  3.24190	  1.35059	  1.46877	  1.08750	 22.74010
NOx	  0.65833	  0.23561	  0.50848	  0.68514	  1.24259	  1.24596	  0.79976	  0.35816	  0.44783	  0.54403

Factor 9		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Dichloromethane	  0.11879	  0.02391	  0.09843	  0.11886	  0.19093	  0.19762	  0.13437	  0.05230	  0.38922	  0.44029
Chloroform	  0.02938	  0.00000	  0.01959	  0.02900	  0.05572	  0.05954	  0.03554	  0.01877	  0.52804	  0.63866
Trichlorofluoromethane	  0.06595	  0.00000	  0.00756	  0.06639	  0.27880	  0.28973	  0.12977	  0.12369	  0.95319	  1.87566
Dichlorodifluoromethane	  0.62540	  0.27515	  0.52332	  0.62588	  0.70498	  0.78612	  0.61617	  0.12043	  0.19544	  0.19256
Carbon Tetrachloride	  0.05729	  0.01632	  0.03875	  0.05475	  0.10492	  0.10884	  0.06569	  0.03341	  0.50864	  0.58330
1_1_2-Trichlorotrifluoroethane	  0.06242	  0.01603	  0.03897	  0.06174	  0.13285	  0.13758	  0.07984	  0.04590	  0.57486	  0.73530
1_2-Dichloro-1_1_2_2-tetrafluoroethane	  0.01411	  0.00319	  0.01214	  0.01403	  0.02081	  0.02226	  0.01563	  0.00550	  0.35203	  0.39004
Tetrachloroethene	  0.00690	  0.00247	  0.00637	  0.00705	  0.00954	  0.01514	  0.00795	  0.00257	  0.32383	  0.37324
1_2-Dichlorobenzene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00107	  0.00005	  0.00024	  4.47214	  0.00000
1_4-Dichlorobenzene	  0.00043	  0.00000	  0.00005	  0.00005	  0.00040	  0.00299	  0.00034	  0.00066	  1.90659	  1.53122
PCBTF	  0.00789	  0.00000	  0.00776	  0.00856	  0.01270	  0.02011	  0.00979	  0.00405	  0.41373	  0.51363
