**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.30307,  0.01613,  0.06263,  3.88349,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00768,  0.06127,  0.00682,  0.01193,  1.74990,  0.00000
Tetrachloroethene,  0.07897,  0.02095,  0.04904,  0.06258,  0.07843,  0.09926,  0.06220,  0.01795,  0.28860,  0.22731
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00096,  0.01776,  0.00129,  0.00340,  2.63508,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.03779,  0.00200,  0.00641,  3.19882,  0.00000
PCBTF,  0.24478,  0.05266,  0.15521,  0.18824,  0.24395,  0.30668,  0.18952,  0.05679,  0.29964,  0.23199
N-Butane,  0.80855,  0.00000,  0.63159,  0.82689,  1.17858,  1.94243,  0.86644,  0.44123,  0.50925,  0.54571
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.72079,  0.03589,  0.11136,  3.10324,  0.00000
N-Pentane,  0.09517,  0.00000,  0.00000,  0.09548,  0.12479,  0.17890,  0.08127,  0.05850,  0.71976,  0.61466
Isopentane,  1.87970,  0.00000,  1.17560,  1.44672,  1.88240,  2.39433,  1.44959,  0.46164,  0.31846,  0.24559
2-Methyl pentane,  0.23889,  0.00000,  0.00000,  0.23831,  0.27747,  1.67549,  0.28258,  0.39452,  1.39611,  1.65145
Butene,  0.56564,  0.03770,  0.46225,  0.56514,  0.65123,  1.14344,  0.54819,  0.18877,  0.34435,  0.33373
Propylene,  2.98465,  0.00000,  2.39735,  2.98540,  3.53296,  5.92019,  2.93389,  1.01899,  0.34732,  0.34141
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  3.15301,  0.12043,  1.44115,  1.98860,  3.14977,  3.73422,  2.08144,  1.00337,  0.48206,  0.31823
alpha-Pinene,  1.00013,  0.21549,  0.59874,  0.79226,  0.99928,  1.24942,  0.75689,  0.26526,  0.35047,  0.26523
MVK,  1.10065,  0.00000,  0.48654,  0.63455,  1.09945,  1.44324,  0.72743,  0.34932,  0.48021,  0.31737
Benzene,  0.54935,  0.00000,  0.47587,  0.55411,  0.66847,  2.08354,  0.63147,  0.40618,  0.64323,  0.73938
Toluene,  8.42509,  2.23576,  5.22015,  6.72487,  8.42501, 10.46297,  6.52163,  2.21334,  0.33938,  0.26271
Ethylbenzene,  1.40309,  0.38245,  0.86503,  1.12523,  1.40304,  1.74115,  1.09336,  0.35857,  0.32796,  0.25556
Propylbenzene,  0.27965,  0.07594,  0.17523,  0.22939,  0.27987,  0.34892,  0.22225,  0.07122,  0.32043,  0.25466
m_p-Xylene,  2.12957,  0.47252,  1.29462,  1.75265,  2.13026,  2.65014,  1.66452,  0.56087,  0.33696,  0.26337
o-Xylene,  1.55276,  0.39225,  0.96004,  1.26086,  1.55373,  1.92534,  1.22026,  0.39518,  0.32385,  0.25450
p-Isopropyl Toluene,  0.02352,  0.00000,  0.01084,  0.01924,  0.02429,  0.16822,  0.02505,  0.02754,  1.09964,  1.17092
Naphthalene,  0.47167,  0.20970,  0.32377,  0.43143,  0.47325,  0.58264,  0.41264,  0.10061,  0.24383,  0.21332
Methanol,  0.00000,  0.00000,  0.00000, 15.85203, 33.93421, 61.57732, 19.10002, 19.35201,  1.01319,  0.00000
Ethanol, 16.10739,  0.00000,  4.12772, 13.13168, 16.08117, 18.45237, 10.77998,  6.22742,  0.57768,  0.38662
Phenol,  0.22320,  0.00000,  0.00000,  0.13601,  0.22375,  1.69071,  0.19924,  0.34837,  1.74850,  1.56078
Formaldehyde, 19.23837,  2.43557, 13.35831, 16.51976, 19.23755, 35.64397, 16.59406,  5.07501,  0.30583,  0.26380
Acetaldehyde, 27.77161, 12.62356, 18.17256, 23.63119, 27.68730, 34.75683, 23.24256,  5.41871,  0.23314,  0.19512
Isovaleraldehyde,  0.81674,  0.10670,  0.52025,  0.71185,  0.81753,  1.04146,  0.65611,  0.22957,  0.34990,  0.28108
