**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
1_1_2-Trichlorotrifluoroethane,  0.00333,  0.00126,  0.00149,  0.00192,  0.00332,  0.00402,  0.00227,  0.00091,  0.40288,  0.27419
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00092,  0.00000,  0.00001,  0.00041,  0.00088,  0.00104,  0.00046,  0.00038,  0.84244,  0.41635
Tetrachloroethene,  0.00005,  0.00005,  0.00007,  0.00012,  0.00014,  0.00019,  0.00011,  0.00005,  0.40599,  0.85066
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00003,  0.00000,  0.00001,  3.07825,  0.00000
1_4-Dichlorobenzene,  0.00014,  0.00000,  0.00002,  0.00003,  0.00013,  0.00015,  0.00006,  0.00005,  0.86348,  0.39792
PCBTF,  0.00042,  0.00040,  0.00044,  0.00062,  0.00068,  0.00103,  0.00061,  0.00018,  0.30238,  0.43929
N-Butane,  0.00000,  0.00000,  0.00000,  0.00296,  0.00721,  0.00749,  0.00327,  0.00316,  0.96488,  0.00000
Isobutane,  0.00015,  0.00000,  0.00060,  0.00505,  0.01112,  0.01120,  0.00543,  0.00471,  0.86734, 31.27895
N-Pentane,  0.00040,  0.00000,  0.00000,  0.00000,  0.00000,  0.00075,  0.00010,  0.00022,  2.15193,  0.56081
Isopentane,  0.00501,  0.00367,  0.00548,  0.00924,  0.01649,  0.01679,  0.00993,  0.00494,  0.49746,  0.98522
2-Methyl pentane,  0.00333,  0.00333,  0.00464,  0.01212,  0.01961,  0.01987,  0.01162,  0.00672,  0.57808,  2.01577
Butene,  0.00021,  0.00000,  0.00041,  0.00139,  0.00367,  0.00389,  0.00174,  0.00148,  0.85351,  7.04165
Propylene,  0.00000,  0.00000,  0.00000,  0.00016,  0.00112,  0.00158,  0.00052,  0.00060,  1.14865,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.02954,  0.00038,  0.01524,  0.02748,  0.04250,  0.04448,  0.02566,  0.01521,  0.59269,  0.51474
alpha-Pinene,  0.00526,  0.00000,  0.00251,  0.00496,  0.00751,  0.00784,  0.00451,  0.00273,  0.60530,  0.51908
MVK,  0.01307,  0.00000,  0.00606,  0.01217,  0.01910,  0.01999,  0.01134,  0.00699,  0.61615,  0.53498
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.00128,  0.00062,  0.00166,  0.00560,  0.00843,  0.01419,  0.00577,  0.00417,  0.72150,  3.24688
Ethylbenzene,  0.00043,  0.00029,  0.00050,  0.00103,  0.00144,  0.00237,  0.00107,  0.00062,  0.57983,  1.43276
Propylbenzene,  0.00007,  0.00004,  0.00009,  0.00022,  0.00041,  0.00053,  0.00025,  0.00017,  0.66248,  2.43915
m_p-Xylene,  0.00045,  0.00000,  0.00046,  0.00071,  0.00116,  0.00229,  0.00087,  0.00059,  0.68071,  1.32419
o-Xylene,  0.00040,  0.00024,  0.00044,  0.00087,  0.00125,  0.00223,  0.00093,  0.00058,  0.61918,  1.42816
p-Isopropyl Toluene,  0.00020,  0.00000,  0.00005,  0.00043,  0.00119,  0.00122,  0.00057,  0.00050,  0.88322,  2.46904
Naphthalene,  0.00101,  0.00066,  0.00088,  0.00097,  0.00104,  0.00112,  0.00095,  0.00012,  0.12846,  0.12140
Methanol, 73.16200, 72.07800, 72.17050, 72.47800, 72.74400, 73.20400, 72.50045,  0.35796,  0.00494,  0.00489
Ethanol,  0.01413,  0.00000,  0.01717,  0.03924,  0.05870,  0.07346,  0.03609,  0.02230,  0.61793,  1.57867
Phenol,  0.01643,  0.00000,  0.00009,  0.00319,  0.01315,  0.01781,  0.00605,  0.00653,  1.07906,  0.39762
Formaldehyde,  0.05497,  0.00000,  0.03598,  0.05546,  0.18875,  0.19599,  0.08569,  0.07418,  0.86565,  1.34935
Acetaldehyde,  0.01479,  0.00000,  0.00565,  0.02205,  0.08081,  0.08419,  0.03563,  0.03348,  0.93960,  2.26363
Isovaleraldehyde,  0.00051,  0.00000,  0.00002,  0.00008,  0.00050,  0.00090,  0.00022,  0.00027,  1.21598,  0.53458
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00092,  0.00007,  0.00022,  3.35398,  0.00000
m_p-Tolualdehyde,  0.00001,  0.00000,  0.00001,  0.00002,  0.00008,  0.00009,  0.00004,  0.00004,  0.89770,  4.64903
Phenylacetaldehyde,  0.00653,  0.00000,  0.00000,  0.00135,  0.00556,  0.00711,  0.00262,  0.00277,  1.05843,  0.42442
Cyclohexanone,  0.00003,  0.00003,  0.00004,  0.00006,  0.00012,  0.00014,  0.00008,  0.00004,  0.48697,  1.16584
Methyl acetate,  0.00189,  0.00189,  0.00276,  0.00607,  0.00647,  0.00722,  0.00495,  0.00201,  0.40595,  1.06314
n-Butyl acetate,  0.00000,  0.00000,  0.00000,  0.00257,  0.00272,  0.00778,  0.00225,  0.00235,  1.04272,  0.00000
D5-Siloxane,  0.00255,  0.00000,  0.00000,  0.00000,  0.00289,  0.00402,  0.00138,  0.00164,  1.19025,  0.64424

Factor 4,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00079,  0.00000,  0.00028,  0.00100,  0.00117,  0.00137,  0.00082,  0.00050,  0.60505,  0.63169
Chloroform,  0.00182,  0.00109,  0.00134,  0.00136,  0.00162,  0.00200,  0.00145,  0.00024,  0.16675,  0.13336
Trichlorofluoromethane,  0.00316,  0.00000,  0.00000,  0.00000,  0.00089,  0.00382,  0.00082,  0.00137,  1.67099,  0.43332
Dichlorodifluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00102,  0.00010,  0.00026,  2.66968,  0.00000
Carbon Tetrachloride,  0.00245,  0.00000,  0.00105,  0.00121,  0.00174,  0.00245,  0.00130,  0.00072,  0.55221,  0.29258
1_1_2-Trichlorotrifluoroethane,  0.00253,  0.00065,  0.00090,  0.00109,  0.00225,  0.00253,  0.00153,  0.00072,  0.47372,  0.28545
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00004,  0.00000,  0.00000,  0.00000,  0.00010,  0.00011,  0.00004,  0.00005,  1.29728,  1.36813
Tetrachloroethene,  0.00025,  0.00008,  0.00012,  0.00018,  0.00021,  0.00026,  0.00017,  0.00005,  0.31423,  0.21656
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00003,  0.00011,  0.00015,  0.00005,  0.00006,  1.09753,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
PCBTF,  0.00015,  0.00000,  0.00000,  0.00015,  0.00020,  0.00028,  0.00012,  0.00010,  0.87220,  0.68639
N-Butane,  0.01345,  0.00000,  0.00000,  0.00650,  0.00887,  0.01345,  0.00595,  0.00468,  0.78687,  0.34805
Isobutane,  0.01113,  0.00000,  0.00137,  0.00335,  0.00954,  0.01189,  0.00463,  0.00425,  0.91754,  0.38198
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00081,  0.00211,  0.00035,  0.00062,  1.78264,  0.00000
Isopentane,  0.01740,  0.00528,  0.00916,  0.00930,  0.01203,  0.01814,  0.01076,  0.00337,  0.31352,  0.19390
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Butene,  0.01617,  0.01065,  0.01086,  0.01269,  0.01382,  0.01617,  0.01278,  0.00179,  0.14019,  0.11079
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00074,  0.00392,  0.00071,  0.00135,  1.90220,  0.00000
cis-2-Pentene,  0.00023,  0.00023,  0.00024,  0.00030,  0.00036,  0.00036,  0.00030,  0.00005,  0.17142,  0.22010
Isoprene,  0.00000,  0.00000,  0.00000,  0.01433,  0.04307,  0.07166,  0.02493,  0.02611,  1.04723,  0.00000
alpha-Pinene,  0.00032,  0.00016,  0.00072,  0.00296,  0.00793,  0.01344,  0.00488,  0.00461,  0.94585, 14.39264
MVK,  0.00967,  0.00493,  0.00867,  0.01348,  0.02775,  0.04263,  0.01938,  0.01251,  0.64531,  1.29384
Benzene,  0.00770,  0.00157,  0.00440,  0.00463,  0.00617,  0.01327,  0.00561,  0.00263,  0.46959,  0.34203
Toluene,  0.00000,  0.00000,  0.00326,  0.00477,  0.00881,  0.01401,  0.00546,  0.00370,  0.67739,  0.00000
Ethylbenzene,  0.00000,  0.00000,  0.00025,  0.00048,  0.00121,  0.00178,  0.00066,  0.00053,  0.80687,  0.00000
Propylbenzene,  0.00000,  0.00000,  0.00000,  0.00001,  0.00014,  0.00027,  0.00006,  0.00008,  1.34248,  0.00000
m_p-Xylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00095,  0.00009,  0.00027,  3.08645,  0.00000
o-Xylene,  0.00000,  0.00000,  0.00003,  0.00021,  0.00090,  0.00119,  0.00043,  0.00042,  0.99138,  0.00000
p-Isopropyl Toluene,  0.00077,  0.00075,  0.00149,  0.00212,  0.00249,  0.00277,  0.00200,  0.00068,  0.34042,  0.88811
