**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00400,  0.00277,  0.00373,  0.00401,  0.00593,  0.01144,  0.00497,  0.00219,  0.43940,  0.54664
Chloroform,  0.00080,  0.00035,  0.00076,  0.00083,  0.00111,  0.00164,  0.00094,  0.00031,  0.33538,  0.39500
Trichlorofluoromethane,  0.00218,  0.00000,  0.00222,  0.00558,  0.01095,  0.02213,  0.00717,  0.00655,  0.91295,  3.00116
Dichlorodifluoromethane,  0.00134,  0.00000,  0.00146,  0.00823,  0.02228,  0.06602,  0.01353,  0.01618,  1.19530, 12.09225
Carbon Tetrachloride,  0.00000,  0.00000,  0.00000,  0.00013,  0.00238,  0.00453,  0.00119,  0.00151,  1.26294,  0.00000
1_1_2-Trichlorotrifluoroethane,  0.00113,  0.00050,  0.00117,  0.00249,  0.00437,  0.00768,  0.00290,  0.00213,  0.73503,  1.88536
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00009,  0.00009,  0.00010,  0.00029,  0.00074,  0.00261,  0.00054,  0.00065,  1.20052,  7.45945
Tetrachloroethene,  0.00057,  0.00034,  0.00050,  0.00057,  0.00062,  0.00068,  0.00055,  0.00009,  0.16550,  0.16098
1_2-Dichlorobenzene,  0.00500,  0.00140,  0.00495,  0.00500,  0.00521,  0.00539,  0.00488,  0.00084,  0.17116,  0.16709
1_4-Dichlorobenzene,  0.00495,  0.00009,  0.00490,  0.00496,  0.00511,  0.00908,  0.00430,  0.00225,  0.52268,  0.45467
PCBTF,  0.00089,  0.00016,  0.00059,  0.00084,  0.00089,  0.00100,  0.00074,  0.00021,  0.28484,  0.23782
N-Butane,  0.04816,  0.03848,  0.04822,  0.05913,  0.08247,  0.15718,  0.06832,  0.02806,  0.41072,  0.58273
Isobutane,  0.00000,  0.00000,  0.00000,  0.00788,  0.02151,  0.05531,  0.01198,  0.01496,  1.24833,  0.00000
N-Pentane,  0.00072,  0.00000,  0.00033,  0.00136,  0.00403,  0.03117,  0.00516,  0.00862,  1.67067, 11.92106
Isopentane,  0.02366,  0.00999,  0.02254,  0.02478,  0.03365,  0.04707,  0.02801,  0.00869,  0.31016,  0.36714
2-Methyl pentane,  0.00446,  0.00000,  0.00047,  0.00446,  0.00595,  0.00768,  0.00368,  0.00266,  0.72238,  0.59589
Butene,  0.01914,  0.01314,  0.01927,  0.02096,  0.03214,  0.05819,  0.02564,  0.01067,  0.41623,  0.55774
Propylene,  0.07834,  0.04539,  0.07841,  0.08254,  0.11779,  0.19086,  0.09589,  0.03349,  0.34922,  0.42743
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00135,  0.00008,  0.00030,  3.85878,  0.00000
Isoprene,  0.00574,  0.00199,  0.00615,  0.01166,  0.01554,  0.02644,  0.01180,  0.00687,  0.58270,  1.19773
